_id,Ejercicio,Centro Gestor,Funcional,Economico,Financiacion,Descripcion,Credito inicial,Modificaciones,Credito Definitivo,Comprometido,Obligaciones Reconocidas,Pagado
1,2015,01010,1111,100000,91002,Retribuciones básicas de Altos Cargos,"2.449.891,22",,"2.449.891,22","2.449.891,22","2.449.891,22","2.449.891,22"
2,2015,01010,1111,100001,91002,Otras remuneraciones de Altos Cargos,"263.598,86",,"263.598,86","263.598,86","263.598,86","263.598,86"
3,2015,01010,1111,110000,91002,Retribuciones básicas Pers. Eventual de Gabinete,"145.184,76",,"145.184,76","145.184,76","145.184,76","145.184,76"
4,2015,01010,1111,110001,91002,Otras remuneraciones de Pers. Eventual de Gabinete,"167.792,38",,"167.792,38","167.792,38","167.792,38","167.792,38"
5,2015,01010,1111,120000,91002,Sueldos de Personal Funcionario,"1.477.263,36",,"1.477.263,36","1.477.263,36","1.477.263,36","1.477.263,36"
6,2015,01010,1111,120005,91002,Trienios de Personal Funcionario,"637.787,30",,"637.787,30","637.787,30","637.787,30","637.787,30"
7,2015,01010,1111,120006,91002,Pagas extraordinarias de Personal Funcionario,"550.857,02",,"550.857,02","550.857,02","550.857,02","550.857,02"
8,2015,01010,1111,121000,91002,Complemento de destino de Personal Funcionario,"668.655,48",,"668.655,48","668.655,48","668.655,48","668.655,48"
9,2015,01010,1111,121001,91002,Complemento específico de Personal Funcionario,"597.023,64",,"597.023,64","597.023,64","597.023,64","597.023,64"
10,2015,01010,1111,122002,91002,Otras retribuciones en especie,"110.000,00",,"110.000,00","110.000,00","110.000,00","110.000,00"
11,2015,01010,1111,130000,91002,Salario base de Personal Laboral Fijo,"96.070,80",,"96.070,80","96.070,80","96.070,80","96.070,80"
12,2015,01010,1111,130001,91002,Antigüedad de Personal Laboral Fijo,"33.601,92",,"33.601,92","33.601,92","33.601,92","33.601,92"
13,2015,01010,1111,130002,91002,Pagas extraordinarias de Personal Laboral Fijo,"28.472,70",,"28.472,70","28.472,70","28.472,70","28.472,70"
14,2015,01010,1111,130003,91002,Otras remuneraciones de Personal Laboral Fijo,"56.025,60",,"56.025,60","56.025,60","56.025,60","56.025,60"
