_id,EJERCICIO,GASTO/INGRESO,CAPITULO,ARTICULO,CONCEPTO,SUBCONCEPTO,DESCRIPCION CORTA,DESCRIPCION LARGA
1,2024,G,1,,,,Gastos de Personal,Gastos de Personal
2,2024,G,2,,,,Gtos.Bienes Corr. y Serv.,Gastos en Bienes Corrientes y Servicios
3,2024,G,3,,,,Gastos Financieros,Gastos Financieros
4,2024,G,4,,,,Transferencias Corrientes,Transferencias Corrientes
5,2024,G,5,,,,Fondo Contingencia,Fondo de Contingencia de Ejecución Presupuestaria
6,2024,G,6,,,,Inversiones Reales,Inversiones Reales
7,2024,G,7,,,,Transferencias de Capital,Transferencias de Capital
8,2024,G,8,,,,Activos Financieros,Activos Financieros
9,2024,G,9,,,,Pasivos Financieros,Pasivos Financieros
10,2024,G,1,10,,,Altos Cargos,Altos Cargos
11,2024,G,1,11,,,Person. Eventual Gabinete,Personal Eventual de Gabinete
12,2024,G,1,12,,,Funcionarios,Funcionarios
13,2024,G,1,13,,,Laborales,Laborales
14,2024,G,1,14,,,Otro personal,Otro personal
15,2024,G,1,15,,,Incentivos al rendimiento,Incentivos al rendimiento
16,2024,G,1,16,,,Cuotas sociales empleador,"Cuotas, prest. y gtos soc. a cargo del empleador"
17,2024,G,1,17,,,Gtos personal distribuir,Gastos de personal a distribuir
18,2024,G,1,18,,,Pers. Instit. Sanitarias,Personal de Instituciones Sanitarias
19,2024,G,2,20,,,Arrendamientos,Arrendamientos
20,2024,G,2,21,,,Reparación y conservación,Reparación y conservación
21,2024,G,2,22,,,"Material, suminis.y otros","Material, suministros y otros"
22,2024,G,2,23,,,Indemnizac. por servicio,Indemnizaciones por razón del servicio
23,2024,G,2,24,,,Servicios nuevos,Servicios nuevos
24,2024,G,2,25,,,Otr gtos b.corrient y ser,Otros gastos en bienes corrientes y servicios
25,2024,G,2,26,,,Serv.Asist. medios ajenos,Servicios asistenciales con medios ajenos
26,2024,G,3,30,,,De deuda interior,De deuda interior
27,2024,G,3,31,,,De préstamos del interior,De préstamos del interior
28,2024,G,3,32,,,De préstamos del exterior,De préstamos del exterior
29,2024,G,3,34,,,"Depósitos, Fianzas, Avales","Depósitos, Fianzas, Avales"
30,2024,G,3,35,,,"Depósitos,fianzas,avales","De depósitos, fianzas y avales"
31,2024,G,3,39,,,Otro préstamos y anticip.,Otros préstamos y anticipos
32,2024,G,4,40,,,A la Admón del Estado,A la Administración del Estado
33,2024,G,4,41,,,A Organismos Autónomos,A Organismos Autónomos
34,2024,G,4,42,,,A la Seguridad Social,A la Seguridad Social
35,2024,G,4,44,,,A Empr. y Entes Públicos,A Empresas Públicas y otros Entes Públicos
36,2024,G,4,45,,,A Comunidades Autónomas,A Comunidades Autónomas
37,2024,G,4,46,,,A Corporaciones Locales,A Corporaciones Locales
38,2024,G,4,47,,,A Empresas Privadas,A Empresas Privadas
39,2024,G,4,48,,,"A fam,ins.sin fines lucro",A familias e instituciones sin fines de lucro
40,2024,G,4,49,,,Al Exterior,Al Exterior
41,2024,G,5,50,,,Fondo Contingencia,Fondo de Contingencia de Ejecución Presupuestaria
42,2024,G,6,60,,,Inversiones Reales,Inversiones Reales
43,2024,G,6,61,,,Intereses de demora de inversiones,Intereses de demora de inversiones
44,2024,G,7,70,,,A la Admón del Estado,A la Administración del Estado
45,2024,G,7,71,,,A Organismos Autónomos,A Organismos Autónomos
46,2024,G,7,72,,,A la Seguridad Social,A la Seguridad Social
47,2024,G,7,74,,,A Empr. y Entes Públicos,A Empresas Públicas y otros Entes Públicos
48,2024,G,7,75,,,A Comunidades Autónomas,A Comunidades Autónomas
49,2024,G,7,76,,,A Corporaciones Locales,A Corporaciones Locales
50,2024,G,7,77,,,A Empresas Privadas,A Empresas Privadas
51,2024,G,7,78,,,"A fam,ins.sin fines lucro",A familias e instituciones sin fines de lucro
52,2024,G,7,79,,,Al Exterior,Al Exterior
53,2024,G,8,80,,,Conc. prést. y anticipos,Concesión de préstamos y anticipos
54,2024,G,8,81,,,Adquis. accion. Sect.Públ,Adquis.acciones y participaciones del Stor Público
55,2024,G,8,82,,,Adquis. accion. Sect.Priv,Adq. acciones y participaciones del Sector Privado
56,2024,G,8,85,,,Const.Fianzas y depósitos,Constitución de fianzas y depósitos
57,2024,G,8,87,,,Aport. Patrimoniales,Aportaciones Patrimoniales
58,2024,G,9,90,,,Amortiz. Deuda Pública,Amortización de Deuda Pública
59,2024,G,9,91,,,Amortización préstamos,Amortización de Préstamos
60,2024,G,1,10,100,,Básicas y otras Alt.Cargo,Retr. básicas y otras de Altos Cargos
61,2024,G,1,10,101,,"Retrib.basic y otras rem. SGT, DG y asimilados","Retrib.basic y otras rem. SGT, DG y asimilados"
62,2024,G,1,11,110,,Básicas y otras P.Ev.Gab.,Retr. básicas y otras de Person. Eventual Gabinete
63,2024,G,1,12,120,,Ret. básicas Funcionarios,Retribuciones básicas de Personal Funcionario
64,2024,G,1,12,121,,Retr. compl. Funcionarios,Retrib. complementarias de Personal Funcionario
65,2024,G,1,12,122,,Retr.especie Funcionario,Retribuciones en especie de Personal Funcionario
66,2024,G,1,12,123,,Retr. Bás. P Func Docente,Retr. Básicas Personal Funcionario Docente
67,2024,G,1,12,124,,Retr. Com. P Func Docente,Retr. Complementarias Personal Funcionario Docente
68,2024,G,1,12,125,,RB F Nal. Justicia,Retribuciones Básicas Funcionarios Nal. Justicia
69,2024,G,1,12,126,,RC F Nal. Justicia,Retribuciones Complem. Funcionarios Nal. Justicia
70,2024,G,1,13,130,,Laboral fijo,Laboral fijo
71,2024,G,1,13,131,,Laboral Eventual,Laboral Eventual
72,2024,G,1,14,140,,Otro personal,Otro personal
73,2024,G,1,15,150,,Productividad,Productividad
74,2024,G,1,15,151,,Gratificaciones,Gratificaciones
75,2024,G,1,16,160,,Cuotas Sociales,Cuotas Sociales
76,2024,G,1,16,161,,Gtos.Soc.Func. y no labor,Gastos Sociales de Funcionarios y pers. no Laboral
77,2024,G,1,16,162,,Gtos. sociales Laborales,Gastos sociales de Personal Laboral
78,2024,G,1,16,165,,Fondo de Acción Social,Fondo de Acción Social
79,2024,G,1,17,170,,Fondo Incremento Norm.,Fondo de Incremento Normativo
80,2024,G,1,17,171,,Fondos Adicionales,Fondos Adicionales
81,2024,G,1,17,172,,Otros Fondos Adicionales,Otros Fondos Adicionales
82,2024,G,1,18,180,,"Ret. Func, est,no labor","Retr. personal. func., Estatutario y no laboral"
83,2024,G,1,18,182,,Retr otro Est. Temp.,Retribuciones de otro pers. estatutario temporal
84,2024,G,1,18,183,,Labor fijo de Inst.Sanit.,Personal laboral fijo de Instituciones Sanitarias
85,2024,G,1,18,184,,Personal laboral eventual,Personal laboral eventual
86,2024,G,1,18,185,,Inc.Rendim. Per Ins.Sanit,Inc. al rendimiento personal Instit. Sanitarias
87,2024,G,1,18,186,,"Cuotas,prest. y gtos soc.","Cuotas,prest. y gtos soc. de Pers Inst. Sanitar."
88,2024,G,1,18,187,,Personal en Formación,Personal en Formación
