_id,EJERCICIO,GASTO/INGRESO,CAPITULO,ARTICULO,CONCEPTO,SUBCONCEPTO,DESCRIPCION CORTA,DESCRIPCION LARGA
1,2013,G,1,,,,Gastos de Personal,Gastos de Personal
2,2013,G,2,,,,Gtos.Bienes Corr. y Serv.,Gastos en Bienes Corrientes y Servicios
3,2013,G,3,,,,Gastos Financieros,Gastos Financieros
4,2013,G,4,,,,Transferencias Corrientes,Transferencias Corrientes
5,2013,G,5,,,,Fondo Contingencia,Fondo de Contingencia de Ejecución Presupuestaria
6,2013,G,6,,,,Inversiones Reales,Inversiones Reales
7,2013,G,7,,,,Transferencias de Capital,Transferencias de Capital
8,2013,G,8,,,,Activos Financieros,Activos Financieros
9,2013,G,9,,,,Pasivos Financieros,Pasivos Financieros
10,2013,G,1,10,,,Altos Cargos,Altos Cargos
11,2013,G,1,11,,,Person. Eventual Gabinete,Personal Eventual de Gabinete
12,2013,G,1,12,,,Funcionarios,Funcionarios
13,2013,G,1,13,,,Laborales,Laborales
14,2013,G,1,14,,,Otro personal,Otro personal
15,2013,G,1,15,,,Incentivos al rendimiento,Incentivos al rendimiento
16,2013,G,1,16,,,Cuotas sociales empleador,"Cuotas, prestaciones y gastos sociales a cargo del empleador"
17,2013,G,1,17,,,Gtos personal distribuir,Gastos de personal a distribuir
18,2013,G,1,18,,,Pers. Instit. Sanitarias,Personal de Instituciones Sanitarias
19,2013,G,2,20,,,Arrendamientos,Arrendamientos
20,2013,G,2,21,,,Reparación y conservación,Reparación y conservación
21,2013,G,2,22,,,"Material, suminis.y otros","Material, suministros y otros"
22,2013,G,2,23,,,Indemnizac. por servicio,Indemnizaciones por razón del servicio
23,2013,G,2,24,,,Servicios nuevos,Servicios nuevos
24,2013,G,2,25,,,Otr gtos b.corrient y ser,Otros gastos en bienes corrientes y servicios
25,2013,G,2,26,,,Serv.Asist. medios ajenos,Servicios asistenciales con medios ajenos
26,2013,G,3,30,,,De deuda interior,De deuda interior
27,2013,G,3,31,,,De préstamos del interior,De préstamos del interior
28,2013,G,3,32,,,De préstamos del exterior,De préstamos del exterior
29,2013,G,3,35,,,"Depósitos,fianzas,avales","De depósitos, fianzas y avales"
30,2013,G,3,39,,,Otro préstamos y anticip.,Otros préstamos y anticipos
31,2013,G,4,40,,,A la Admón del Estado,A la Administración del Estado
32,2013,G,4,41,,,A Organismos Autónomos,A Organismos Autónomos
33,2013,G,4,42,,,A la Seguridad Social,A la Seguridad Social
34,2013,G,4,44,,,A Empr. y Entes Públicos,A Empresas Públicas y otros Entes Públicos
