_id,EJERCICIO,GASTO/INGRESO,CAPITULO,ARTICULO,CONCEPTO,SUBCONCEPTO,DESCRIPCION CORTA,DESCRIPCION LARGA
1,2019,G,1,,,,Gastos de Personal,Gastos de Personal
2,2019,G,2,,,,Gtos.Bienes Corr. y Serv.,Gastos en Bienes Corrientes y Servicios
3,2019,G,3,,,,Gastos Financieros,Gastos Financieros
4,2019,G,4,,,,Transferencias Corrientes,Transferencias Corrientes
5,2019,G,5,,,,Fondo Contingencia,Fondo de Contingencia de Ejecución Presupuestaria
6,2019,G,6,,,,Inversiones Reales,Inversiones Reales
7,2019,G,7,,,,Transferencias de Capital,Transferencias de Capital
8,2019,G,8,,,,Activos Financieros,Activos Financieros
9,2019,G,9,,,,Pasivos Financieros,Pasivos Financieros
10,2019,G,1,10,,,Altos Cargos,Altos Cargos
11,2019,G,1,11,,,Person. Eventual Gabinete,Personal Eventual de Gabinete
12,2019,G,1,12,,,Funcionarios,Funcionarios
13,2019,G,1,13,,,Laborales,Laborales
14,2019,G,1,14,,,Otro personal,Otro personal
15,2019,G,1,15,,,Incentivos al rendimiento,Incentivos al rendimiento
16,2019,G,1,16,,,Cuotas sociales empleador,"Cuotas, prest. y gtos soc. a cargo del empleador"
17,2019,G,1,17,,,Gtos personal distribuir,Gastos de personal a distribuir
18,2019,G,1,18,,,Pers. Instit. Sanitarias,Personal de Instituciones Sanitarias
19,2019,G,2,20,,,Arrendamientos,Arrendamientos
20,2019,G,2,21,,,Reparación y conservación,Reparación y conservación
21,2019,G,2,22,,,"Material, suminis.y otros","Material, suministros y otros"
22,2019,G,2,23,,,Indemnizac. por servicio,Indemnizaciones por razón del servicio
23,2019,G,2,24,,,Servicios nuevos,Servicios nuevos
24,2019,G,2,25,,,Otr gtos b.corrient y ser,Otros gastos en bienes corrientes y servicios
25,2019,G,2,26,,,Serv.Asist. medios ajenos,Servicios asistenciales con medios ajenos
26,2019,G,3,30,,,De deuda interior,De deuda interior
27,2019,G,3,31,,,De préstamos del interior,De préstamos del interior
28,2019,G,3,32,,,De préstamos del exterior,De préstamos del exterior
29,2019,G,3,35,,,"Depósitos,fianzas,avales","De depósitos, fianzas y avales"
30,2019,G,3,39,,,Otro préstamos y anticip.,Otros préstamos y anticipos
31,2019,G,4,40,,,A la Admón del Estado,A la Administración del Estado
32,2019,G,4,41,,,A Organismos Autónomos,A Organismos Autónomos
33,2019,G,4,42,,,A la Seguridad Social,A la Seguridad Social
34,2019,G,4,44,,,A Empr. y Entes Públicos,A Empresas Públicas y otros Entes Públicos
35,2019,G,4,45,,,A Comunidades Autónomas,A Comunidades Autónomas
36,2019,G,4,46,,,A Corporaciones Locales,A Corporaciones Locales
37,2019,G,4,47,,,A Empresas Privadas,A Empresas Privadas
38,2019,G,4,48,,,"A fam,ins.sin fines lucro",A familias e instituciones sin fines de lucro
39,2019,G,4,49,,,Al Exterior,Al Exterior
40,2019,G,5,50,,,Fondo Contingencia,Fondo de Contingencia de Ejecución Presupuestaria
