_id,EJERCICIO,GASTO/INGRESO,CAPITULO,ARTICULO,CONCEPTO,SUBCONCEPTO,DESCRIPCION CORTA,DESCRIPCION LARGA
1,2015,G,1,,,,Gastos de Personal,Gastos de Personal
2,2015,G,2,,,,Gtos.Bienes Corr. y Serv.,Gastos en Bienes Corrientes y Servicios
3,2015,G,3,,,,Gastos Financieros,Gastos Financieros
4,2015,G,4,,,,Transferencias Corrientes,Transferencias Corrientes
5,2015,G,5,,,,Fondo Contingencia,Fondo de Contingencia de Ejecución Presupuestaria
6,2015,G,6,,,,Inversiones Reales,Inversiones Reales
7,2015,G,7,,,,Transferencias de Capital,Transferencias de Capital
8,2015,G,8,,,,Activos Financieros,Activos Financieros
9,2015,G,9,,,,Pasivos Financieros,Pasivos Financieros
10,2015,G,1,10,,,Altos Cargos,Altos Cargos
11,2015,G,1,11,,,Person. Eventual Gabinete,Personal Eventual de Gabinete
12,2015,G,1,12,,,Funcionarios,Funcionarios
13,2015,G,1,13,,,Laborales,Laborales
14,2015,G,1,14,,,Otro personal,Otro personal
15,2015,G,1,15,,,Incentivos al rendimiento,Incentivos al rendimiento
16,2015,G,1,16,,,Cuotas sociales empleador,"Cuotas, prest. y gtos soc. a cargo del empleador"
17,2015,G,1,17,,,Gtos personal distribuir,Gastos de personal a distribuir
18,2015,G,1,18,,,Pers. Instit. Sanitarias,Personal de Instituciones Sanitarias
19,2015,G,2,20,,,Arrendamientos,Arrendamientos
20,2015,G,2,21,,,Reparación y conservación,Reparación y conservación
21,2015,G,2,22,,,"Material, suminis.y otros","Material, suministros y otros"
22,2015,G,2,23,,,Indemnizac. por servicio,Indemnizaciones por razón del servicio
23,2015,G,2,24,,,Servicios nuevos,Servicios nuevos
24,2015,G,2,25,,,Otr gtos b.corrient y ser,Otros gastos en bienes corrientes y servicios
25,2015,G,2,26,,,Serv.Asist. medios ajenos,Servicios asistenciales con medios ajenos
26,2015,G,3,30,,,De deuda interior,De deuda interior
27,2015,G,3,31,,,De préstamos del interior,De préstamos del interior
28,2015,G,3,32,,,De préstamos del exterior,De préstamos del exterior
29,2015,G,3,35,,,"Depósitos,fianzas,avales","De depósitos, fianzas y avales"
30,2015,G,3,39,,,Otro préstamos y anticip.,Otros préstamos y anticipos
31,2015,G,4,40,,,A la Admón del Estado,A la Administración del Estado
32,2015,G,4,41,,,A Organismos Autónomos,A Organismos Autónomos
33,2015,G,4,42,,,A la Seguridad Social,A la Seguridad Social
34,2015,G,4,44,,,A Empr. y Entes Públicos,A Empresas Públicas y otros Entes Públicos
35,2015,G,4,45,,,A Comunidades Autónomas,A Comunidades Autónomas
36,2015,G,4,46,,,A Corporaciones Locales,A Corporaciones Locales
37,2015,G,4,47,,,A Empresas Privadas,A Empresas Privadas
38,2015,G,4,48,,,"A fam,ins.sin fines lucro",A familias e instituciones sin fines de lucro
39,2015,G,4,49,,,Al Exterior,Al Exterior
40,2015,G,5,50,,,Fondo Contingencia,Fondo de Contingencia de Ejecución Presupuestaria
41,2015,G,6,60,,,Inversiones Reales,Inversiones Reales
42,2015,G,7,70,,,A la Admón del Estado,A la Administración del Estado
43,2015,G,7,71,,,A Organismos Autónomos,A Organismos Autónomos
44,2015,G,7,72,,,A la Seguridad Social,A la Seguridad Social
45,2015,G,7,74,,,A Empr. y Entes Públicos,A Empresas Públicas y otros Entes Públicos
46,2015,G,7,75,,,A Comunidades Autónomas,A Comunidades Autónomas
47,2015,G,7,76,,,A Corporaciones Locales,A Corporaciones Locales
48,2015,G,7,77,,,A Empresas Privadas,A Empresas Privadas
49,2015,G,7,78,,,"A fam,ins.sin fines lucro",A familias e instituciones sin fines de lucro
50,2015,G,7,79,,,Al Exterior,Al Exterior
51,2015,G,8,80,,,Conc. prést. y anticipos,Concesión de préstamos y anticipos
52,2015,G,8,81,,,Adquis. accion. Sect.Públ,Adquis.acciones y participaciones del Stor Público
53,2015,G,8,82,,,Adquis. accion. Sect.Priv,Adq. acciones y participaciones del Sector Privado
54,2015,G,8,85,,,Const.Fianzas y depósitos,Constitución de fianzas y depósitos
55,2015,G,8,87,,,Aport. Patrimoniales,Aportaciones Patrimoniales
56,2015,G,9,90,,,Amortiz. Deuda Pública,Amortización de Deuda Pública
57,2015,G,9,91,,,Amortización préstamos,Amortización de Préstamos
58,2015,G,1,10,100,,Básicas y otras Alt.Cargo,Retr. básicas y otras de Altos Cargos
59,2015,G,1,11,110,,Básicas y otras P.Ev.Gab.,Retr. básicas y otras de Person. Eventual Gabinete
60,2015,G,1,12,120,,Ret. básicas Funcionarios,Retribuciones básicas de Personal Funcionario
61,2015,G,1,12,121,,Retr. compl. Funcionarios,Retrib. complementarias de Personal Funcionario
62,2015,G,1,12,122,,Retr.especie Funcionario,Retribuciones en especie de Personal Funcionario
63,2015,G,1,12,123,,Retr. Bás. P Func Docente,Retr. Básicas Personal Funcionario Docente
64,2015,G,1,12,124,,Retr. Com. P Func Docente,Retr. Complementarias Personal Funcionario Docente
65,2015,G,1,12,125,,RB F Nal. Justicia,Retribuciones Básicas Funcionarios Nal. Justicia
66,2015,G,1,12,126,,RC F Nal. Justicia,Retribuciones Complem. Funcionarios Nal. Justicia
67,2015,G,1,13,130,,Laboral fijo,Laboral fijo
68,2015,G,1,13,131,,Laboral Eventual,Laboral Eventual
69,2015,G,1,14,140,,Otro personal,Otro personal
70,2015,G,1,15,150,,Productividad,Productividad
71,2015,G,1,15,151,,Gratificaciones,Gratificaciones
72,2015,G,1,16,160,,Cuotas Sociales,Cuotas Sociales
73,2015,G,1,16,161,,Gtos.Soc.Func. y no labor,Gastos Sociales de Funcionarios y pers. no Laboral
74,2015,G,1,16,162,,Gtos. sociales Laborales,Gastos sociales de Personal Laboral
75,2015,G,1,16,165,,Fondo de Acción Social,Fondo de Acción Social
76,2015,G,1,17,170,,Fondo Incremento Norm.,Fondo de Incremento Normativo
77,2015,G,1,17,171,,Fondos Adicionales,Fondos Adicionales
78,2015,G,1,17,172,,Otros Fondos Adicionales,Otros Fondos Adicionales
79,2015,G,1,18,180,,"Ret.Func,APD,est,no labor","Retr. personal. func.,APD,estatutario y no laboral"
80,2015,G,1,18,182,,Retr otro Est. Temp.,Retribuciones de otro pers. estatutario temporal
81,2015,G,1,18,183,,Labor fijo de Inst.Sanit.,Personal laboral fijo de Instituciones Sanitarias
82,2015,G,1,18,184,,Personal laboral eventual,Personal laboral eventual
83,2015,G,1,18,185,,Inc.Rendim. Per Ins.Sanit,Inc. al rendimiento personal Instit. Sanitarias
84,2015,G,1,18,186,,"Cuotas,prest. y gtos soc.","Cuotas,prest. y gtos soc. de Pers Inst. Sanitar."
85,2015,G,1,18,187,,Personal en Formación,Personal en Formación
86,2015,G,2,20,200,,Arrend. Terr y  B. natur.,Arrendamientos de terrenos y bienes naturales
87,2015,G,2,20,202,,Arrend. Edific. y constr,Arrendamientos de edificios y otras construcciones
88,2015,G,2,20,203,,"Arrend. Maq,inst,utillaje","Arrendamientos maquinaria, instalación y utillaje"
89,2015,G,2,20,204,,Arrend. Material transp.,Arrendamientos de material de transporte
90,2015,G,2,20,205,,"Arrend. Mobil.,enseres",Arrendamientos de mobiliario y enseres
91,2015,G,2,20,206,,Arrend. Equip proc inform,Arrendamientos de equipos procesos de información
92,2015,G,2,20,209,,Arrend. otro inmov. mat.,Arrendamientos de otro inmovilizado material
93,2015,G,2,21,210,,Rep.Const.Terr y B.natur.,Rep. y conservación de terrenos y bienes naturales
94,2015,G,2,21,212,,Rep.Const. Edif. y constr,Rep. y conservación edificios y otras construcc.
95,2015,G,2,21,213,,"Rep.Const. Maq,inst,utill","Rep. y conserv. maquinaria,instalaciones,utillaje"
96,2015,G,2,21,214,,Rep.Const. Mat. transport,Reparación y conservación material de transporte
97,2015,G,2,21,215,,"Rep.Const. Mobil.,enseres",Reparación y conservación de mobiliario y enseres
98,2015,G,2,21,216,,Rep.Const. Equip informac,Rep. y conserv. equipos procesos de información
99,2015,G,2,21,219,,Rep.Const. otr inm. mat.,Rep. y conservación de otro inmovilizado material
100,2015,G,2,22,220,,Material de oficina,Material de oficina
101,2015,G,2,22,221,,Suministros,Suministros
102,2015,G,2,22,222,,Comunicaciones,Comunicaciones
103,2015,G,2,22,223,,Transporte,Transporte
104,2015,G,2,22,224,,Primas de seguros,Primas de seguros
105,2015,G,2,22,225,,Tributos,Tributos
106,2015,G,2,22,226,,Gastos diversos,Gastos diversos
107,2015,G,2,22,227,,Trabajos otras empresas,Trabajos realizados por otras empresas
108,2015,G,2,22,229,,Gtos. Ctros doc. no univ.,Gastos en centros docentes no universitarios
109,2015,G,2,23,230,,Dietas,Dietas
110,2015,G,2,23,231,,Locomoción,Locomoción
111,2015,G,2,23,232,,Traslado,Traslado
112,2015,G,2,23,239,,Otras indemnizaciones,Otras indemnizaciones
113,2015,G,2,24,240,,Arrend. servicios nuevos,Arrendamientos para servicios nuevos
114,2015,G,2,24,241,,Rep. conserv serv. nuevos,Reparación y conservación para servicios nuevos
115,2015,G,2,24,242,,"Mater,sumin. serv. nuevos","Material,suministros y otros para servicios nuevos"
116,2015,G,2,24,243,,"Dietas,locom. serv.nuevos",Dietas y locomociones para servicios nuevos
117,2015,G,2,24,244,,Ac.concertada serv.nuevos,Acción concertada en servicios nuevos
118,2015,G,2,24,249,,Otros gastos serv. nuevos,Otros gastos en servicios nuevos
119,2015,G,2,25,250,,Gastos pruebas selectivas,Gastos en pruebas selectivas
120,2015,G,2,25,251,,Realización de cursos,Gastos de realización de cursos
121,2015,G,2,26,261,,Concier. Asist. Sanitaria,Conciertos para Asistencia Sanitaria
122,2015,G,2,26,262,,Otros Serv. As. Sanitaria,Otros Servicios de Asistencia Sanitaria
123,2015,G,2,26,263,,Acc.concertada S.Sociales,Acción concertada en Servicios Sociales
124,2015,G,3,30,300,,Intereses títulos Deuda,Intereses de títulos de la Deuda
125,2015,G,3,30,301,,"Gtos em,mod,cancel. Deuda","Gastos de emisión, modificación y cancelación"
126,2015,G,3,30,303,,Rendimientos implícitos,Rendimientos implícitos
127,2015,G,3,31,310,,Inter. préstamos interior,Intereses de Préstamos del interior
128,2015,G,3,31,311,,"Gto form,mod,canc. pr.int","Gastos de formalización,modificación y cancelación"
129,2015,G,3,31,312,,Inter.gtos oper.derivados,Intereses y otros de operaciones con derivados
130,2015,G,3,32,320,,Inter. préstamos exterior,Intereses de préstamos del exterior
131,2015,G,3,32,321,,"Gto form,mod,canc. pr.ext","Gastos de formalización,modificación y cancelación"
132,2015,G,3,35,350,,Intereses de depósitos,Intereses de depósitos
133,2015,G,3,35,351,,Intereses de fianzas,Intereses de fianzas
134,2015,G,3,35,352,,Intereses de demora,Intereses de demora
135,2015,G,3,35,353,,Gastos de avales,Gastos de avales
136,2015,G,3,35,359,,"Otros gtos dep,fianz,aval","Otros gastos de depósitos, fianzas y avales"
137,2015,G,3,39,390,,"Inter.otros prést,anticip",Intereses de otros préstamos y anticipos
138,2015,G,3,39,391,,"Gts.otros prést.,anticip.",Gastos de otros préstamos y anticipos
139,2015,G,3,39,392,,Int. y otros op. der.fin.,Intereses y otros oper. con derivados financieros
140,2015,G,4,40,400,,A la Admón General Estado,A la Administración General del Estado
141,2015,G,4,40,405,,A otros Entes de A.G.E.,A otros entes de la Administración General Estado
142,2015,G,4,41,410,,A Organismos Autónomos,A Organismos Autónomos
143,2015,G,4,42,420,,A la Tesor. General S.S.,A la Tesorería General de la Seguridad Social
144,2015,G,4,42,421,,A otros Entes de la S.S.,A otros entes de la Seguridad Social
145,2015,G,4,44,440,,A Empr. y Entes Públicos,A Empresas Públicas y otros Entes Públicos
146,2015,G,4,45,450,,A Comunidades Autónomas,A Comunidades Autónomas
147,2015,G,4,46,460,,A Corporaciones Locales,A Corporaciones Locales
148,2015,G,4,47,470,,A Empresas Privadas,A Empresas Privadas
149,2015,G,4,48,480,,"A fam,ins.sin fines lucro",A familias e instituciones sin fines de lucro
150,2015,G,4,49,490,,Al Exterior,Al Exterior
151,2015,G,5,50,500,,Fondo Contingencia,Fondo de Contingencia de Ejecución Presupuestaria
152,2015,G,6,60,600,,Terrenos y bien. natural,Terrenos y bienes naturales
153,2015,G,6,60,602,,Edific. y construcciones,Edificios y otras construcciones
154,2015,G,6,60,603,,Maq. instalac. y utillaje,"Maquinaria, instalación y utillaje"
