_id,Ejercicio,Centro Gestor,Funcional,Economico,Financiacion,Descripcion,Credito inicial,Modificaciones,Credito Definitivo,Comprometido,Obligaciones Reconocidas,Pagado
1,2014,01010,1111,100000,91002,Retribuciones básicas de Altos Cargos,"2.449.891,22",,"2.449.891,22","1.837.418,43","1.837.418,43","1.837.418,43"
2,2014,01010,1111,100001,91002,Otras remuneraciones de Altos Cargos,"263.598,86",,"263.598,86","197.699,16","197.699,16","197.699,16"
3,2014,01010,1111,110000,91002,Retribuciones básicas Pers. Eventual de Gabinete,"145.184,76",,"145.184,76","108.888,57","108.888,57","108.888,57"
4,2014,01010,1111,110001,91002,Otras remuneraciones de Pers. Eventual de Gabinete,"167.792,38",,"167.792,38","125.844,30","125.844,30","125.844,30"
5,2014,01010,1111,120000,91002,Sueldos de Personal Funcionario,"1.477.263,36",,"1.477.263,36","1.107.947,52","1.107.947,52","1.107.947,52"
6,2014,01010,1111,120005,91002,Trienios de Personal Funcionario,"604.306,38",,"604.306,38","453.229,80","453.229,80","453.229,80"
7,2014,01010,1111,120006,91002,Pagas extraordinarias de Personal Funcionario,"545.139,60",,"545.139,60","408.854,70","408.854,70","408.854,70"
8,2014,01010,1111,121000,91002,Complemento de destino de Personal Funcionario,"668.655,48",,"668.655,48","501.491,61","501.491,61","501.491,61"
9,2014,01010,1111,121001,91002,Complemento específico de Personal Funcionario,"596.335,20",,"596.335,20","447.251,40","447.251,40","447.251,40"
10,2014,01010,1111,122002,91002,Otras retribuciones en especie,"125.000,00",,"125.000,00","93.750,00","93.750,00","93.750,00"
11,2014,01010,1111,130000,91002,Salario base de Personal Laboral Fijo,"96.070,80",,"96.070,80","72.053,10","72.053,10","72.053,10"
12,2014,01010,1111,130001,91002,Antigüedad de Personal Laboral Fijo,"31.418,94",,"31.418,94","23.564,22","23.564,22","23.564,22"
13,2014,01010,1111,130002,91002,Pagas extraordinarias de Personal Laboral Fijo,"28.266,58",,"28.266,58","21.199,95","21.199,95","21.199,95"
14,2014,01010,1111,130003,91002,Otras remuneraciones de Personal Laboral Fijo,"56.025,60",,"56.025,60","42.019,20","42.019,20","42.019,20"
15,2014,01010,1111,131000,91002,Salario base de Personal Laboral Eventual,"13.241,28",,"13.241,28","9.930,96","9.930,96","9.930,96"
16,2014,01010,1111,131001,91002,Otras remuneraciones de Personal Laboral Eventual,"13.593,22",,"13.593,22","10.194,93","10.194,93","10.194,93"
17,2014,01010,1111,150000,91002,Productividad fija de Funcionarios,"219.616,80",,"219.616,80","164.712,60","164.712,60","164.712,60"
18,2014,01010,1111,151000,91002,Gratificaciones de Personal Funcionario,"18.050,00",,"18.050,00","13.537,50","13.537,50","13.537,50"
19,2014,01010,1111,151001,91002,Gratificaciones de Personal no Funcionario,"950,00",,"950,00","712,50","712,50","712,50"
20,2014,01010,1111,160000,91002,Seguridad social,"1.464.262,42",,"1.464.262,42","1.098.196,83","1.098.196,83","1.098.196,83"
21,2014,01010,1111,160009,91002,Otras cuotas sociales,"2.597,56",,"2.597,56","1.948,17","1.948,17","1.948,17"
22,2014,01010,1111,161000,91002,Formación y perfeccion. Funcionarios y no Laboral,"10.000,00",,"10.000,00","7.500,00","7.500,00","7.500,00"
23,2014,01010,1111,161001,91002,Economatos y comedores. Funcionarios y no Laboral,"61.750,00",,"61.750,00","46.312,50","46.312,50","46.312,50"
24,2014,01010,1111,161009,91002,Otros Gtos Sociales de Funcionarios y no Laborales,"16.000,00",,"16.000,00","12.000,00","12.000,00","12.000,00"
25,2014,01010,1111,162000,91002,Formación y perfeccionamiento de Personal Laboral,"285,00",,"285,00","213,75","213,75","213,75"
26,2014,01010,1111,162001,91002,Economatos y comedores de Personal Laboral,"1.140,00",,"1.140,00","855,00","855,00","855,00"
27,2014,01010,1111,162009,91002,Otros gastos sociales de Personal Laboral,"114,00",,"114,00","85,50","85,50","85,50"
28,2014,01010,1111,165000,91002,Fondo de Acción Social,"103.829,24",,"103.829,24","77.871,93","77.871,93","77.871,93"
29,2014,01010,1111,203000,91002,"Arrendamientos maquinaria, instalación y utillaje","2.000,00",,"2.000,00","1.500,00","1.500,00","1.500,00"
30,2014,01010,1111,206000,91002,Arrendamientos de equipos procesos de información,"234.459,53",,"234.459,53","175.844,64","175.844,64","175.844,64"
31,2014,01010,1111,212000,91002,Rep. y conservación edificios y otras construcc.,"150.000,00",,"150.000,00","112.500,00","112.500,00","112.500,00"
32,2014,01010,1111,213000,91002,"Rep. y conserv. maquinaria,instalaciones,utillaje","100.000,00",,"100.000,00","75.000,00","75.000,00","75.000,00"
33,2014,01010,1111,214000,91002,Reparación y conservación material de transporte,"8.000,00",,"8.000,00","6.000,00","6.000,00","6.000,00"
34,2014,01010,1111,215000,91002,Reparación y conservación de mobiliario y enseres,"15.000,00",,"15.000,00","11.250,00","11.250,00","11.250,00"
35,2014,01010,1111,216000,91002,Rep. y conserv. equipos procesos de información,"104.500,00",,"104.500,00","78.375,00","78.375,00","78.375,00"
36,2014,01010,1111,220000,91002,Ordinario no inventariable,"20.000,00",,"20.000,00","15.000,00","15.000,00","15.000,00"
37,2014,01010,1111,220001,91002,Mobiliario y enseres,"10.000,00",,"10.000,00","7.500,00","7.500,00","7.500,00"
38,2014,01010,1111,220002,91002,"Prensa, revistas y publicaciones periódicas","138.910,00",,"138.910,00","104.182,50","104.182,50","104.182,50"
39,2014,01010,1111,220003,91002,Libros y otras publicaciones,"112.410,00",,"112.410,00","84.307,50","84.307,50","84.307,50"
40,2014,01010,1111,220004,91002,Material informático,"15.000,00",,"15.000,00","11.250,00","11.250,00","11.250,00"
41,2014,01010,1111,221000,91002,Energía eléctrica,"350.000,00",,"350.000,00","262.500,00","262.500,00","262.500,00"
42,2014,01010,1111,221001,91002,Agua,"1.000,00",,"1.000,00","750,00","750,00","750,00"
43,2014,01010,1111,221003,91002,Combustibles,"10.000,00",,"10.000,00","7.500,00","7.500,00","7.500,00"
44,2014,01010,1111,221004,91002,Vestuario,"20.000,00",,"20.000,00","15.000,00","15.000,00","15.000,00"
45,2014,01010,1111,221009,91002,Otros suministros,"40.000,00",,"40.000,00","30.000,00","30.000,00","30.000,00"
46,2014,01010,1111,222000,91002,Telefónicas,"230.808,52",,"230.808,52","173.106,39","173.106,39","173.106,39"
47,2014,01010,1111,222001,91002,Postales,"15.000,00",,"15.000,00","11.250,00","11.250,00","11.250,00"
48,2014,01010,1111,222002,91002,Telegráficas,"600,00",,"600,00","450,00","450,00","450,00"
49,2014,01010,1111,223000,91002,Transporte,"102.000,00",,"102.000,00","76.500,00","76.500,00","76.500,00"
50,2014,01010,1111,224001,91002,Primas de vehículos,"6.000,00",,"6.000,00","4.500,00","4.500,00","4.500,00"
51,2014,01010,1111,224002,91002,Primas de otro inmovilizado,"16.000,00",,"16.000,00","12.000,00","12.000,00","12.000,00"
52,2014,01010,1111,225000,91002,Tributos locales,"5.500,00",,"5.500,00","4.125,00","4.125,00","4.125,00"
53,2014,01010,1111,226001,91002,Atenciones protocolarias y representativas,"102.400,00",,"102.400,00","76.800,00","76.800,00","76.800,00"
54,2014,01010,1111,226002,91002,Gastos de divulgación y promoción,"282.000,00",,"282.000,00","211.500,00","211.500,00","211.500,00"
55,2014,01010,1111,226005,91002,Reuniones y conferencias,"50.000,00",,"50.000,00","37.500,00","37.500,00","37.500,00"
56,2014,01010,1111,226009,91002,Otros gastos diversos,"132.000,00",,"132.000,00","99.000,00","99.000,00","99.000,00"
57,2014,01010,1111,227000,91002,Limpieza y aseo,"323.390,11",,"323.390,11","242.542,56","242.542,56","242.542,56"
58,2014,01010,1111,227001,91002,Seguridad,"660.933,72",,"660.933,72","495.700,29","495.700,29","495.700,29"
59,2014,01010,1111,227003,91002,Postales,"8.000,00",,"8.000,00","6.000,00","6.000,00","6.000,00"
60,2014,01010,1111,227004,91002,"Custodia, depósito y almacenaje","7.500,00",,"7.500,00","5.625,00","5.625,00","5.625,00"
61,2014,01010,1111,227006,91002,Estudios y trabajos técnicos,"9.000,00",,"9.000,00","6.750,00","6.750,00","6.750,00"
62,2014,01010,1111,227009,91002,Otros trabajos realizados por otras empresas,"587.587,16",,"587.587,16","440.690,37","440.690,37","440.690,37"
63,2014,01010,1111,230000,91002,Dietas,"505.000,00",,"505.000,00","378.750,00","378.750,00","378.750,00"
64,2014,01010,1111,231000,91002,Locomoción,"505.000,00",,"505.000,00","378.750,00","378.750,00","378.750,00"
65,2014,01010,1111,239000,91002,Otras indemnizaciones,"110.000,00",,"110.000,00","82.500,00","82.500,00","82.500,00"
66,2014,01010,1111,250000,91002,Gastos en pruebas selectivas,"1.000,00",,"1.000,00","750,00","750,00","750,00"
67,2014,01010,1111,251000,91002,Realización de cursos de formación interna,"1.000,00",,"1.000,00","750,00","750,00","750,00"
68,2014,01010,1111,359000,91002,"Otros gastos de depósitos, fianzas y avales","601,00",,"601,00","450,75","450,75","450,75"
69,2014,01010,1111,480189,91002,Subvenciones a Grupos Parlamentarios,"3.345.364,00",,"3.345.364,00","2.509.023,00","2.509.023,00","2.509.023,00"
70,2014,01010,1111,480190,91002,Conciertos y convenios de las Cortes de Aragón,"185.552,20",,"185.552,20","139.164,15","139.164,15","139.164,15"
71,2014,01010,1111,603000,91002,"Maquinaria, instalación y utillaje","147.124,73",,"147.124,73","110.343,54","110.343,54","110.343,54"
72,2014,01010,1113,120000,91002,Sueldos de Personal Funcionario,"51.086,64",,"51.086,64","38.314,98","38.314,98","38.314,98"
73,2014,01010,1113,120005,91002,Trienios de Personal Funcionario,"20.663,40",,"20.663,40","15.497,55","15.497,55","15.497,55"
74,2014,01010,1113,120006,91002,Pagas extraordinarias de Personal Funcionario,"18.826,70",,"18.826,70","14.120,04","14.120,04","14.120,04"
75,2014,01010,1113,121000,91002,Complemento de destino de Personal Funcionario,"23.694,84",,"23.694,84","17.771,13","17.771,13","17.771,13"
76,2014,01010,1113,121001,91002,Complemento específico de Personal Funcionario,"17.515,32",,"17.515,32","13.136,49","13.136,49","13.136,49"
77,2014,01010,1113,130000,91002,Salario base de Personal Laboral Fijo,"23.696,04",,"23.696,04","17.772,03","17.772,03","17.772,03"
78,2014,01010,1113,130001,91002,Antigüedad de Personal Laboral Fijo,"12.745,20",,"12.745,20","9.558,90","9.558,90","9.558,90"
79,2014,01010,1113,130002,91002,Pagas extraordinarias de Personal Laboral Fijo,"8.014,68",,"8.014,68","6.011,01","6.011,01","6.011,01"
80,2014,01010,1113,130003,91002,Otras remuneraciones de Personal Laboral Fijo,"12.390,12",,"12.390,12","9.292,59","9.292,59","9.292,59"
81,2014,01010,1113,150000,91002,Productividad fija de Funcionarios,"4.905,48",,"4.905,48","3.679,11","3.679,11","3.679,11"
82,2014,01010,1113,160000,91002,Seguridad social,"40.741,57",,"40.741,57","30.556,17","30.556,17","30.556,17"
83,2014,01010,1113,212000,91002,Rep. y conservación edificios y otras construcc.,"15.000,00",,"15.000,00","11.250,00","11.250,00","11.250,00"
84,2014,01010,1113,213000,91002,"Rep. y conserv. maquinaria,instalaciones,utillaje","1.500,00",,"1.500,00","1.125,00","1.125,00","1.125,00"
85,2014,01010,1113,220003,91002,Libros y otras publicaciones,"15.000,00",,"15.000,00","11.250,00","11.250,00","11.250,00"
86,2014,01010,1113,221009,91002,Otros suministros,"15.000,00",,"15.000,00","11.250,00","11.250,00","11.250,00"
87,2014,01010,1113,226002,91002,Gastos de divulgación y promoción,"75.000,00",,"75.000,00","56.250,00","56.250,00","56.250,00"
88,2014,01010,1113,227000,91002,Limpieza y aseo,"42.641,16",,"42.641,16","31.980,87","31.980,87","31.980,87"
89,2014,01010,1113,227001,91002,Seguridad,"195.132,84",,"195.132,84","146.349,63","146.349,63","146.349,63"
90,2014,01010,1113,227006,91002,Estudios y trabajos técnicos,"4.000,00",,"4.000,00","3.000,00","3.000,00","3.000,00"
91,2014,01010,1113,227009,91002,Otros trabajos realizados por otras empresas,"398.000,00",,"398.000,00","298.500,00","298.500,00","298.500,00"
92,2014,01010,1113,359000,91002,"Otros gastos de depósitos, fianzas y avales","601,00",,"601,00","450,75","450,75","450,75"
93,2014,01020,1112,100000,91002,Retribuciones básicas de Altos Cargos,"28.372,68",,"28.372,68","14.186,34","14.186,34","7.093,17"
94,2014,01020,1112,100001,91002,Otras remuneraciones de Altos Cargos,"42.801,92",,"42.801,92","21.400,96","21.400,96","10.700,48"
95,2014,01020,1112,110000,91002,Retribuciones básicas Pers. Eventual de Gabinete,"449.406,86",,"449.406,86","224.703,44","224.703,44","112.351,72"
96,2014,01020,1112,110001,91002,Otras remuneraciones de Pers. Eventual de Gabinete,"375.699,94",,"375.699,94","187.849,98","187.849,98","93.924,99"
97,2014,01020,1112,120000,91002,Sueldos de Personal Funcionario,"126.027,60",,"126.027,60","63.013,80","63.013,80","31.506,90"
98,2014,01020,1112,120005,91002,Trienios de Personal Funcionario,"102.809,08",,"102.809,08","51.404,54","51.404,54","25.702,27"
99,2014,01020,1112,120006,91002,Pagas extraordinarias de Personal Funcionario,"44.300,48",,"44.300,48","22.150,24","22.150,24","11.075,12"
100,2014,01020,1112,121000,91002,Complemento de destino de Personal Funcionario,"54.290,04",,"54.290,04","27.145,02","27.145,02","13.572,51"
101,2014,01020,1112,121001,91002,Complemento específico de Personal Funcionario,"44.878,44",,"44.878,44","22.439,22","22.439,22","11.219,61"
102,2014,01020,1112,122002,91002,Otras retribuciones en especie,"18.000,00",,"18.000,00","9.000,00","9.000,00","4.500,00"
103,2014,01020,1112,150000,91002,Productividad fija de Funcionarios,"54.833,16",,"54.833,16","27.416,58","27.416,58","13.708,29"
104,2014,01020,1112,151000,91002,Gratificaciones de Personal Funcionario,"1.000,00",,"1.000,00","500,00","500,00","250,00"
105,2014,01020,1112,151001,91002,Gratificaciones de Personal no Funcionario,"1.000,00",,"1.000,00","500,00","500,00","250,00"
106,2014,01020,1112,160000,91002,Seguridad social,"235.115,82",,"235.115,82","117.557,92","117.557,92","58.778,96"
107,2014,01020,1112,160001,91002,MUFACE,"1.621,48",,"1.621,48","810,74","810,74","405,37"
108,2014,01020,1112,160009,91002,Otras cuotas sociales,"9.333,80",,"9.333,80","4.666,90","4.666,90","2.333,45"
109,2014,01020,1112,161000,91002,Formación y perfeccion. Funcionarios y no Laboral,"1.800,00",,"1.800,00","900,00","900,00","450,00"
110,2014,01020,1112,161009,91002,Otros Gtos Sociales de Funcionarios y no Laborales,"2.300,00",,"2.300,00","1.150,00","1.150,00","575,00"
111,2014,01020,1112,165000,91002,Fondo de Acción Social,"30.200,00",,"30.200,00","15.100,00","15.100,00","7.550,00"
112,2014,01020,1112,202000,91002,Arrendamientos de edificios y otras construcciones,"90,00",,"90,00","45,00","45,00","45,00"
113,2014,01020,1112,206000,91002,Arrendamientos de equipos procesos de información,"400,00",,"400,00","200,00","200,00","100,00"
114,2014,01020,1112,212000,91002,Rep. y conservación edificios y otras construcc.,"4.000,00",,"4.000,00","2.000,00","2.000,00","2.000,00"
115,2014,01020,1112,213000,91002,"Rep. y conserv. maquinaria,instalaciones,utillaje","20.000,00",,"20.000,00","10.000,00","10.000,00","5.000,00"
116,2014,01020,1112,214000,91002,Reparación y conservación material de transporte,"2.000,00",,"2.000,00","1.000,00","1.000,00","500,00"
117,2014,01020,1112,215000,91002,Reparación y conservación de mobiliario y enseres,"450,00",,"450,00","225,00","225,00","112,50"
118,2014,01020,1112,216000,91002,Rep. y conserv. equipos procesos de información,"2.500,00",,"2.500,00","1.250,00","1.250,00","625,00"
119,2014,01020,1112,220000,91002,Ordinario no inventariable,"9.800,00",,"9.800,00","4.900,00","4.900,00","2.450,00"
120,2014,01020,1112,220001,91002,Mobiliario y enseres,"900,00",,"900,00","450,00","450,00","225,00"
121,2014,01020,1112,220002,91002,"Prensa, revistas y publicaciones periódicas","14.400,00",,"14.400,00","7.200,00","7.200,00","3.600,00"
122,2014,01020,1112,220003,91002,Libros y otras publicaciones,"40.000,00",,"40.000,00","20.000,00","20.000,00","10.000,00"
123,2014,01020,1112,220004,91002,Material informático,"3.600,00",,"3.600,00","1.800,00","1.800,00","900,00"
124,2014,01020,1112,220009,91002,Otro material de oficina,"500,00",,"500,00","250,00","250,00","125,00"
125,2014,01020,1112,221000,91002,Energía eléctrica,"38.000,00",,"38.000,00","19.000,00","19.000,00","9.500,00"
126,2014,01020,1112,221001,91002,Agua,"4.000,00",,"4.000,00","2.000,00","2.000,00","1.000,00"
127,2014,01020,1112,221003,91002,Combustibles,"3.200,00",,"3.200,00","1.600,00","1.600,00","800,00"
