_id,EJERCICIO,GASTO/INGRESO,ORIGEN,FONDO,FINANCIACION,DESCRIPCION CORTA,DESCRIPCION LARGA
1,2014,G,1,,,UNIÓN EUROPEA,UNIÓN EUROPEA
2,2014,G,3,,,ADMINISTR. CENTRAL,ADMINISTRACIÓN CENTRAL
3,2014,G,5,,,OTRAS ADMINISTRACIONES PÚBLICAS,OTRAS ADMINISTRACIONES PÚBLICAS
4,2014,G,7,,,ENTES PRIVADOS,ENTES PRIVADOS
5,2014,G,9,,,RECURSOS PROPIOS,RECURSOS PROPIOS
6,2014,G,1,11,,FONDO SOCIAL EUROPEO,FONDO SOCIAL EUROPEO
7,2014,G,1,12,,FEAGA  - FEADER,FEAGA  - FEADER
8,2014,G,1,13,,FEOGA ORIENTACIÓN,FEOGA ORIENTACIÓN
9,2014,G,1,14,,F.E.D.E.R.,F.E.D.E.R.
10,2014,G,1,15,,IFOP - FEP,INSTR.FINANC. ORD. PESQUERA - FDO EUROPEO PESCA
11,2014,G,1,16,,FONDOS DE COHESIÓN,FONDOS DE COHESIÓN
12,2014,G,1,19,,OTRA FINANCIACIÓN EUROPEA,OTRA FINANCIACIÓN EUROPEA
13,2014,G,3,31,,Mº JUSTICIA,Mº JUSTICIA
14,2014,G,3,32,,PLANES ESPECÍFICOS,PLANES ESPECÍFICOS
15,2014,G,3,33,,CONF SECT DE EMPLEO,C.S. DE EMPLEO
16,2014,G,3,34,,CONF SECT DE AGRIC.,C.S. DE AGRICULTURA
17,2014,G,3,35,,CONF SECT DE S.SOC.,C.S. DE SERV. SOCIALES
18,2014,G,3,36,,CONF SECT DE M.AMB.,C.S. DE MEDIO AMBIENTE
19,2014,G,3,39,,OTR SUBV. ADM.CENTR.,OTRAS SUBVENCIONES DE LA ADMINISTRACIÓN CENTRAL
20,2014,G,5,51,,DIPUTACIONES PROVINCIALES,DIPUTACIONES PROVINCIALES
21,2014,G,5,52,,ADMNES. COMARCALES,ADMINISTRACIONES COMARCALES
22,2014,G,5,53,,AYUNTAMIENTOS,AYUNTAMIENTOS
23,2014,G,5,55,,C.A. ARAGÓN,COMUNIDAD AUTÓNOMA DE ARAGÓN
24,2014,G,5,59,,ONU,ORGANIZACIÓN NACIONES UNIDAS
25,2014,G,7,71,,ENTES PRIV.FINAN.,ENTES PRIVADOS FINANCIEROS
26,2014,G,7,72,,ENTES PRIV.NO FINAN.,ENTES PRIVADOS NO FINANCIEROS
27,2014,G,9,91,,RECURSOS PROPIOS,RECURSOS PROPIOS
28,2014,G,1,11,11099,FSE P. OPERAT. ANTER 2007,FSE PROG. OPERATIVOS ANTERIORES 2007
29,2014,G,1,11,11101,PROG.OP. FSE 2007-2013,PROGRAMA OPERATIVO FONDO SOCIAL EUROPEO 2007-2013
30,2014,G,1,12,12101,FEAGA GARANTÍA,FEAGA  GARANTÍA
31,2014,G,1,12,12102,FEADER 2007-2013,FEADER
32,2014,G,1,12,12202,FEADER 2014-2020,FEADER 2014-2020
33,2014,G,1,14,14099,FEDER P.OPERA. ANTER 2007,FEDER PROG. OPERATIVOS ANTERIORES 2007
34,2014,G,1,14,14101,PROG.OP. FEDER 2007-2013,PROGRAMA OPERATIVO FEDER 2007-2013
35,2014,G,1,14,14102,PROG. COOP. TRANSFRONTERI,PROGRAMA DE COOPERACIÓN TRANSFRONTERIZA
36,2014,G,1,14,14103,FEDER 2007-2013 PROY HITO,Programa Operativo FEDER 2007-2013 proyecto HITO
37,2014,G,1,14,14104,PROG. COOP. INTERREGIONAL,PROGRAMA DE COOPERACIÓN INTERRREGIONAL
38,2014,G,1,14,14105,PROG.COMUNIT. 2007-2013 POCTEFA EFA200/11. CULTURA,PROG.COMUNIT. 2007-2013 POCTEFA EFA200/11. CULTURA
39,2014,G,1,15,15101,FONDO EUROPEO DE PESCA,FONDO EUROPEO DE PESCA
40,2014,G,1,16,16001,FONDO DE COHESIÓN,FONDO DE COHESIÓN
41,2014,G,1,19,19001,U E  PUNTO INF EUROP,UNION EUROPEA  (PUNTO INFORMACIÓN EUROPEA)
42,2014,G,1,19,19002,CONV UE PRUEBAS COMP,CONVENIO UE PRUEBAS COMPARATIVAS
43,2014,G,1,19,19003,PROGRAMA LIFE,PROGRAMA LIFE
44,2014,G,1,19,19004,F. E. ADAPTACIÓN GLOBALIZ,FONDO EUROPEO DE ADAPTACIÓN A LA GLOBALIZACIÓN
45,2014,G,1,19,19005,CONVENIO BEI,CONVENIO BEI
46,2014,G,1,19,19090,OTROS PROGRAMAS UE,OTROS PROGRAMAS CON FINANCIACION UE
