_id,EJERCICIO,GASTO/INGRESO,ORIGEN,FONDO,FINANCIACION,DESCRIPCION CORTA,DESCRIPCION LARGA
1,2020,G,1,,,UNIÓN EUROPEA,UNIÓN EUROPEA
2,2020,G,3,,,ADMINISTR. CENTRAL,ADMINISTRACIÓN CENTRAL
3,2020,G,5,,,OTRAS ADMINISTRACIONES PÚBLICAS,OTRAS ADMINISTRACIONES PÚBLICAS
4,2020,G,7,,,ENTES PRIVADOS,ENTES PRIVADOS
5,2020,G,9,,,RECURSOS PROPIOS,RECURSOS PROPIOS
6,2020,G,1,11,,FONDO SOCIAL EUROPEO,FONDO SOCIAL EUROPEO
7,2020,G,1,12,,FEAGA  - FEADER,FEAGA  - FEADER
8,2020,G,1,13,,FEOGA ORIENTACIÓN,FEOGA ORIENTACIÓN
9,2020,G,1,14,,F.E.D.E.R.,F.E.D.E.R.
10,2020,G,1,15,,IFOP - FEP,INSTR.FINANC. ORD. PESQUERA - FDO EUROPEO PESCA
11,2020,G,1,16,,FONDOS DE COHESIÓN,FONDOS DE COHESIÓN
12,2020,G,1,19,,OTRA FINANCIACIÓN EUROPEA,OTRA FINANCIACIÓN EUROPEA
13,2020,G,3,31,,Mº JUSTICIA,Mº JUSTICIA
14,2020,G,3,32,,PLANES ESPECÍFICOS,PLANES ESPECÍFICOS
15,2020,G,3,33,,CONF SECT DE EMPLEO,C.S. DE EMPLEO
16,2020,G,3,34,,CONF SECT DE AGRIC.,C.S. DE AGRICULTURA
17,2020,G,3,35,,CONF SECT DE S.SOC.,C.S. DE SERV. SOCIALES
18,2020,G,3,36,,CONF SECT DE M.AMB.,C.S. DE MEDIO AMBIENTE
19,2020,G,3,37,,PARTICIPACIÓN INGRESOS DEL ESTADO,PARTICIPACIÓN INGRESOS DEL ESTADO
20,2020,G,3,39,,OTR SUBV. ADM.CENTR.,OTRAS SUBVENCIONES DE LA ADMINISTRACIÓN CENTRAL
21,2020,G,5,51,,DIPUTACIONES PROVINCIALES,DIPUTACIONES PROVINCIALES
22,2020,G,5,52,,ADMNES. COMARCALES,ADMINISTRACIONES COMARCALES
23,2020,G,5,53,,AYUNTAMIENTOS,AYUNTAMIENTOS
24,2020,G,5,55,,C.A. ARAGÓN,COMUNIDAD AUTÓNOMA DE ARAGÓN
25,2020,G,5,58,,OTRAS ADMINISTRACIONES PÚBLICAS,OTRAS ADMINISTRACIONES PÚBLICAS
26,2020,G,5,59,,ONU,ORGANIZACIÓN NACIONES UNIDAS
27,2020,G,7,71,,ENTES PRIV.FINAN.,ENTES PRIVADOS FINANCIEROS
28,2020,G,7,72,,ENTES PRIV.NO FINAN.,ENTES PRIVADOS NO FINANCIEROS
29,2020,G,9,91,,RECURSOS PROPIOS,RECURSOS PROPIOS
30,2020,G,1,11,11099,FSE P. OPERAT. ANTER 2007,FSE PROG. OPERATIVOS ANTERIORES 2007
31,2020,G,1,11,11101,PROG.OP. FSE 2007-2013,PROGRAMA OPERATIVO FONDO SOCIAL EUROPEO 2007-2013
32,2020,G,1,11,11201,PROG.OP. FSE 2014-2020,PROGRAMA OPERATIVO FONDO SOCIAL EUROPEO 2014-2020
33,2020,G,1,12,12100,FONDOS ANTERIORES DE FEAGA GARANTÍA,FONDOS ANTERIORES DE FEAGA GARANTÍA
34,2020,G,1,12,12101,FEAGA GARANTÍA,FEAGA  GARANTÍA
35,2020,G,1,12,12102,FEADER 2007-2013,FEADER
36,2020,G,1,12,12202,FEADER 2014-2020,FEADER 2014-2020
37,2020,G,1,14,14099,FEDER P.OPERA. ANTER 2007,FEDER PROG. OPERATIVOS ANTERIORES 2007
38,2020,G,1,14,14101,PROG.OP. FEDER 2007-2013,PROGRAMA OPERATIVO FEDER 2007-2013
39,2020,G,1,14,14102,PROG. COOP. TRANSFRONTERI,PROGRAMA DE COOPERACIÓN TRANSFRONTERIZA
40,2020,G,1,14,14103,FEDER 2007-2013 PROY HITO,PROGRAMA OPERATIVO FEDER 2007-2013 PROYECTO HITO
41,2020,G,1,14,14104,PROG. COOP. INTERREGIONAL,PROGRAMA DE COOPERACIÓN INTERRREGIONAL
42,2020,G,1,14,14105,PROG.COMUNIT. 2007-2013 POCTEFA EFA200/11. CULTURA,PROG.COMUNIT. 2007-2013 POCTEFA EFA200/11. CULTURA
43,2020,G,1,14,14106,INTERREG EUROPE 2014-2020,INTERREG EUROPE 2014-2020
44,2020,G,1,14,14201,PROG.OP. FEDER 2014-2020,PROGRAMA OPERATIVO FEDER 2014-2020
45,2020,G,1,14,14202,POCTEFA 2014-2020,POCTEFA 2014-2020
46,2020,G,1,14,14203,POCTEFA - ECOGYP,POCTEFA - ECOGYP
47,2020,G,1,14,14204,POCTEFA - HABIOS,POCTEFA - HABIOS
48,2020,G,1,14,14205,INTERREG SUDOE PRADERAS,INTERREG SUDOE PRADERAS
49,2020,G,1,14,14206,POCTEFA - ORDESA,POCTEFA - ORDESA
50,2020,G,1,14,14207,INTERREG SUDOE 2014-2020,INTERREG SUDOE 2014-2020
51,2020,G,1,14,14208,INTERREG EUROPE 2014-2020,INTERREG EUROPE 2014-2020
52,2020,G,1,14,14209,EUROPA REACT-UE,EUROPA REACT-UE
53,2020,G,1,15,15101,FONDO EUROPEO DE PESCA,FONDO EUROPEO DE PESCA
54,2020,G,1,16,16001,FONDO DE COHESIÓN,FONDO DE COHESIÓN
55,2020,G,1,19,19001,U E  PUNTO INF EUROP,UNION EUROPEA  (PUNTO INFORMACIÓN EUROPEA)
56,2020,G,1,19,19002,CONV UE PRUEBAS COMP,CONVENIO UE PRUEBAS COMPARATIVAS
57,2020,G,1,19,19003,PROGRAMA LIFE,PROGRAMA LIFE
58,2020,G,1,19,19004,F. E. ADAPTACIÓN GLOBALIZ,FONDO EUROPEO DE ADAPTACIÓN A LA GLOBALIZACIÓN
59,2020,G,1,19,19005,CONVENIO BEI,CONVENIO BEI
60,2020,G,1,19,19006,PROYECTO EUROPEO GRIAL,PROYECTO EUROPEO GRIAL
61,2020,G,1,19,19007,PROGRAMA LIFE SURFING,PROGRAMA LIFE SURFING
62,2020,G,1,19,19008,PROYECTO MATILDE,PROYECTO MATILDE
63,2020,G,1,19,19009,MECANISMO CONECTAR EUROPA,MECANISMO CONECTAR EUROPA
64,2020,G,1,19,19010,HORIZONTE 2020 - PROYECTO SOLAQUA,HORIZONTE 2020 - PROYECTO SOLAQUA
65,2020,G,1,19,19090,OTROS PROGRAMAS UE,OTROS PROGRAMAS CON FINANCIACION UE
66,2020,G,3,31,31000,ADICIONAL INV. JUSTICIA,ADICIONAL INVERSIONES DE ADMON. DE JUSTICIA
67,2020,G,3,32,32100,PLAN MINER,PLAN MINER
68,2020,G,3,32,32200,FONDO ESP TERUEL,FONDO ESPECIAL TERUEL
69,2020,G,3,32,32218,FONDO ESPECIAL DE TERUEL (FITE 2018),FONDO ESPECIAL DE TERUEL (FITE 2018)
