_id,EJERCICIO,GASTO/INGRESO,ORIGEN,FONDO,FINANCIACION,DESCRIPCION CORTA,DESCRIPCION LARGA
1,2022,G,1,,,UNIÓN EUROPEA,UNIÓN EUROPEA
2,2022,G,3,,,ADMINISTR. CENTRAL,ADMINISTRACIÓN CENTRAL
3,2022,G,5,,,OTRAS ADMINISTRACIONES PÚBLICAS,OTRAS ADMINISTRACIONES PÚBLICAS
4,2022,G,7,,,ENTES PRIVADOS,ENTES PRIVADOS
5,2022,G,9,,,RECURSOS PROPIOS,RECURSOS PROPIOS
6,2022,G,1,11,,FONDO SOCIAL EUROPEO,FONDO SOCIAL EUROPEO
7,2022,G,1,12,,FEAGA  - FEADER,FEAGA  - FEADER
8,2022,G,1,13,,FEOGA ORIENTACIÓN,FEOGA ORIENTACIÓN
9,2022,G,1,14,,F.E.D.E.R.,F.E.D.E.R.
10,2022,G,1,15,,IFOP - FEP,INSTR.FINANC. ORD. PESQUERA - FDO EUROPEO PESCA
11,2022,G,1,16,,FONDOS DE COHESIÓN,FONDOS DE COHESIÓN
12,2022,G,1,19,,OTRA FINANCIACIÓN EUROPEA,OTRA FINANCIACIÓN EUROPEA
13,2022,G,3,31,,Mº JUSTICIA,Mº JUSTICIA
14,2022,G,3,32,,PLANES ESPECÍFICOS,PLANES ESPECÍFICOS
15,2022,G,3,33,,CONF SECT DE EMPLEO,C.S. DE EMPLEO
16,2022,G,3,34,,CONF SECT DE AGRIC.,C.S. DE AGRICULTURA
17,2022,G,3,35,,CONF SECT DE S.SOC.,C.S. DE SERV. SOCIALES
18,2022,G,3,36,,CONF SECT DE M.AMB.,C.S. DE MEDIO AMBIENTE
19,2022,G,3,37,,PARTICIPACIÓN INGRESOS DEL ESTADO,PARTICIPACIÓN INGRESOS DEL ESTADO
20,2022,G,3,39,,OTR SUBV. ADM.CENTR.,OTRAS SUBVENCIONES DE LA ADMINISTRACIÓN CENTRAL
21,2022,G,5,51,,DIPUTACIONES PROVINCIALES,DIPUTACIONES PROVINCIALES
22,2022,G,5,52,,ADMNES. COMARCALES,ADMINISTRACIONES COMARCALES
23,2022,G,5,53,,AYUNTAMIENTOS,AYUNTAMIENTOS
24,2022,G,5,55,,C.A. ARAGÓN,COMUNIDAD AUTÓNOMA DE ARAGÓN
25,2022,G,5,58,,OTRAS ADMINISTRACIONES PÚBLICAS,OTRAS ADMINISTRACIONES PÚBLICAS
