_id,EJERCICIO,GASTO/INGRESO,ORIGEN,FONDO,FINANCIACION,DESCRIPCION CORTA,DESCRIPCION LARGA
1,2024,G,1,,,UNIÓN EUROPEA,UNIÓN EUROPEA
2,2024,G,3,,,ADMINISTR. CENTRAL,ADMINISTRACIÓN CENTRAL
3,2024,G,5,,,OTRAS ADMINISTRACIONES PÚBLICAS,OTRAS ADMINISTRACIONES PÚBLICAS
4,2024,G,7,,,ENTES PRIVADOS,ENTES PRIVADOS
5,2024,G,9,,,RECURSOS PROPIOS,RECURSOS PROPIOS
6,2024,G,1,11,,FONDO SOCIAL EUROPEO,FONDO SOCIAL EUROPEO
7,2024,G,1,12,,FEAGA  - FEADER,FEAGA  - FEADER
8,2024,G,1,13,,FEOGA ORIENTACIÓN,FEOGA ORIENTACIÓN
9,2024,G,1,14,,F.E.D.E.R.,F.E.D.E.R.
10,2024,G,1,15,,IFOP - FEP,INSTR.FINANC. ORD. PESQUERA - FDO EUROPEO PESCA
11,2024,G,1,16,,FONDOS DE COHESIÓN,FONDOS DE COHESIÓN
12,2024,G,1,19,,OTRA FINANCIACIÓN EUROPEA,OTRA FINANCIACIÓN EUROPEA
13,2024,G,3,31,,Mº JUSTICIA,Mº JUSTICIA
14,2024,G,3,32,,PLANES ESPECÍFICOS,PLANES ESPECÍFICOS
15,2024,G,3,33,,CONF SECT DE EMPLEO,C.S. DE EMPLEO
16,2024,G,3,34,,CONF SECT DE AGRIC.,C.S. DE AGRICULTURA
17,2024,G,3,35,,CONF SECT DE S.SOC.,C.S. DE SERV. SOCIALES
18,2024,G,3,36,,CONF SECT DE M.AMB.,C.S. DE MEDIO AMBIENTE
19,2024,G,3,37,,PARTICIPACIÓN INGRESOS DEL ESTADO,PARTICIPACIÓN INGRESOS DEL ESTADO
20,2024,G,3,39,,OTR SUBV. ADM.CENTR.,OTRAS SUBVENCIONES DE LA ADMINISTRACIÓN CENTRAL
21,2024,G,5,51,,DIPUTACIONES PROVINCIALES,DIPUTACIONES PROVINCIALES
22,2024,G,5,52,,ADMNES. COMARCALES,ADMINISTRACIONES COMARCALES
23,2024,G,5,53,,AYUNTAMIENTOS,AYUNTAMIENTOS
24,2024,G,5,55,,C.A. ARAGÓN,COMUNIDAD AUTÓNOMA DE ARAGÓN
25,2024,G,5,58,,OTRAS ADMINISTRACIONES PÚBLICAS,OTRAS ADMINISTRACIONES PÚBLICAS
26,2024,G,5,59,,ONU,ORGANIZACIÓN NACIONES UNIDAS
27,2024,G,7,71,,ENTES PRIV.FINAN.,ENTES PRIVADOS FINANCIEROS
28,2024,G,7,72,,ENTES PRIV.NO FINAN.,ENTES PRIVADOS NO FINANCIEROS
29,2024,G,9,91,,RECURSOS PROPIOS,RECURSOS PROPIOS
30,2024,G,1,11,11099,FSE P. OPERAT. ANTER 2007,FSE PROG. OPERATIVOS ANTERIORES 2007
31,2024,G,1,11,11101,PROG.OP. FSE 2007-2013,PROGRAMA OPERATIVO FONDO SOCIAL EUROPEO 2007-2013
32,2024,G,1,11,11201,PROG.OP. FSE 2014-2020,PROGRAMA OPERATIVO FONDO SOCIAL EUROPEO 2014-2020
33,2024,G,1,11,11202,PROG.OP. FSE 2021-2027,PROGRAMA OPERATIVO FONDO SOCIAL EUROPEO 2021-2027
34,2024,G,1,11,11203,PROGRAMA BÁSICO FSE+,PROGRAMA BÁSICO FSE+
35,2024,G,1,11,11209,EUROPA REACT-UE,EUROPA REACT-UE
36,2024,G,1,12,12100,FONDOS ANTERIORES DE FEAGA GARANTÍA,FONDOS ANTERIORES DE FEAGA GARANTÍA
37,2024,G,1,12,12101,FEAGA GARANTÍA,FEAGA  GARANTÍA
38,2024,G,1,12,12102,FEADER 2007-2013,FEADER
39,2024,G,1,12,12202,FEADER 2014-2020,FEADER 2014-2020
40,2024,G,1,12,12203,NEXT GENERATION RURAL DEVELOPMENT FEADER,NEXT GENERATION RURAL DEVELOPMENT FEADER
41,2024,G,1,12,12204,FEADER 2023-2027,FEADER 2023-2027
42,2024,G,1,12,12205,ASISTENCIA TÉCNICA PEPAC,ASISTENCIA TÉCNICA PEPAC
43,2024,G,1,14,14099,FEDER P.OPERA. ANTER 2007,FEDER PROG. OPERATIVOS ANTERIORES 2007
44,2024,G,1,14,14101,PROG.OP. FEDER 2007-2013,PROGRAMA OPERATIVO FEDER 2007-2013
45,2024,G,1,14,14102,PROG. COOP. TRANSFRONTERI,PROGRAMA DE COOPERACIÓN TRANSFRONTERIZA
46,2024,G,1,14,14103,FEDER 2007-2013 PROY HITO,PROGRAMA OPERATIVO FEDER 2007-2013 PROYECTO HITO
47,2024,G,1,14,14104,PROG. COOP. INTERREGIONAL,PROGRAMA DE COOPERACIÓN INTERRREGIONAL
48,2024,G,1,14,14105,PROG.COMUNIT. 2007-2013 POCTEFA EFA200/11. CULTURA,PROG.COMUNIT. 2007-2013 POCTEFA EFA200/11. CULTURA
49,2024,G,1,14,14106,INTERREG EUROPE 2014-2020,INTERREG EUROPE 2014-2020
50,2024,G,1,14,14201,PROG.OP. FEDER 2014-2020,PROGRAMA OPERATIVO FEDER 2014-2020
51,2024,G,1,14,14202,POCTEFA 2014-2020,POCTEFA 2014-2020
52,2024,G,1,14,14203,POCTEFA - ECOGYP,POCTEFA - ECOGYP
53,2024,G,1,14,14204,POCTEFA - HABIOS,POCTEFA - HABIOS
54,2024,G,1,14,14205,INTERREG SUDOE Praderas,INTERREG SUDOE Praderas
55,2024,G,1,14,14206,POCTEFA - Ordesa,POCTEFA - Ordesa
56,2024,G,1,14,14207,INTERREG SUDOE 2014-2020,INTERREG SUDOE 2014-2020
57,2024,G,1,14,14208,INTERREG EUROPE 2014-2020,INTERREG EUROPE 2014-2020
58,2024,G,1,14,14209,EUROPA REACT-UE,EUROPA REACT-UE
59,2024,G,1,14,14210,PROG.OP. FEDER 2021-2027,PROGRAMA OPERATIVO FEDER 2021-2027
60,2024,G,1,14,14211,POCTEFA 2021-2027,POCTEFA 2021-2027
61,2024,G,1,14,14212,INTERREG EUROPE 2021-2027,INTERREG EUROPE 2021-2027
62,2024,G,1,14,14213,INSTRUMENTO INVERSIONES INTERR. INNOVACIÓN,INSTRUMENTO INVERSIONES INTERR. INNOVACIÓN
63,2024,G,1,14,14214,STEP-FEDER Aragón 2021-2027,STEP-FEDER Aragón 2021-2027
64,2024,G,1,15,15101,FONDO EUROPEO DE PESCA,FONDO EUROPEO DE PESCA
65,2024,G,1,16,16001,FONDO DE COHESIÓN,FONDO DE COHESIÓN
66,2024,G,1,19,19001,U E  PUNTO INF EUROP,UNION EUROPEA  (PUNTO INFORMACIÓN EUROPEA)
67,2024,G,1,19,19002,CONV UE PRUEBAS COMP,CONVENIO UE PRUEBAS COMPARATIVAS
68,2024,G,1,19,19003,PROGRAMA LIFE,PROGRAMA LIFE
69,2024,G,1,19,19004,F. E. ADAPTACIÓN GLOBALIZ,FONDO EUROPEO DE ADAPTACIÓN A LA GLOBALIZACIÓN
70,2024,G,1,19,19005,CONVENIO BEI,CONVENIO BEI
71,2024,G,1,19,19006,PROYECTO EUROPEO GRIAL,PROYECTO EUROPEO GRIAL
72,2024,G,1,19,19007,PROGRAMA LIFE SURFING,PROGRAMA LIFE SURFING
73,2024,G,1,19,19008,PROYECTO MATILDE,PROYECTO MATILDE
74,2024,G,1,19,19009,MECANISMO CONECTAR EUROPA,MECANISMO CONECTAR EUROPA
75,2024,G,1,19,19010,HORIZONTE 2020 - PROYECTO SOLAQUA,HORIZONTE 2020 - PROYECTO SOLAQUA
76,2024,G,1,19,19011,FONDO HORIZONTE EUROPA,FONDO HORIZONTE EUROPA
77,2024,G,1,19,19012,FONDO DIGITAL EUROPA,FONDO DIGITAL EUROPA
78,2024,G,1,19,19013,NO OPERATIVO,NO OPERATIVO
79,2024,G,1,19,19014,PROGRAMA LIFE-SIP PYRENEES4CLIMA,PROGRAMA LIFE-SIP PYRENEES4CLIMA
80,2024,G,1,19,19015,TRANSICIÓN JUSTA NGEU,TRANSICIÓN JUSTA NGEU
81,2024,G,1,19,19090,OTROS PROGRAMAS UE,OTROS PROGRAMAS CON FINANCIACION UE
