_id,EJERCICIO,GASTO/INGRESO,ORIGEN,FONDO,FINANCIACION,DESCRIPCION CORTA,DESCRIPCION LARGA
1,2016,G,1,,,UNIÓN EUROPEA,UNIÓN EUROPEA
2,2016,G,3,,,ADMINISTR. CENTRAL,ADMINISTRACIÓN CENTRAL
3,2016,G,5,,,OTRAS ADMINISTRACIONES PÚBLICAS,OTRAS ADMINISTRACIONES PÚBLICAS
4,2016,G,7,,,ENTES PRIVADOS,ENTES PRIVADOS
5,2016,G,9,,,RECURSOS PROPIOS,RECURSOS PROPIOS
6,2016,G,1,11,,FONDO SOCIAL EUROPEO,FONDO SOCIAL EUROPEO
7,2016,G,1,12,,FEAGA  - FEADER,FEAGA  - FEADER
8,2016,G,1,13,,FEOGA ORIENTACIÓN,FEOGA ORIENTACIÓN
9,2016,G,1,14,,F.E.D.E.R.,F.E.D.E.R.
10,2016,G,1,15,,IFOP - FEP,INSTR.FINANC. ORD. PESQUERA - FDO EUROPEO PESCA
11,2016,G,1,16,,FONDOS DE COHESIÓN,FONDOS DE COHESIÓN
12,2016,G,1,19,,OTRA FINANCIACIÓN EUROPEA,OTRA FINANCIACIÓN EUROPEA
13,2016,G,3,31,,Mº JUSTICIA,Mº JUSTICIA
14,2016,G,3,32,,PLANES ESPECÍFICOS,PLANES ESPECÍFICOS
15,2016,G,3,33,,CONF SECT DE EMPLEO,C.S. DE EMPLEO
16,2016,G,3,34,,CONF SECT DE AGRIC.,C.S. DE AGRICULTURA
17,2016,G,3,35,,CONF SECT DE S.SOC.,C.S. DE SERV. SOCIALES
18,2016,G,3,36,,CONF SECT DE M.AMB.,C.S. DE MEDIO AMBIENTE
19,2016,G,3,39,,OTR SUBV. ADM.CENTR.,OTRAS SUBVENCIONES DE LA ADMINISTRACIÓN CENTRAL
20,2016,G,5,51,,DIPUTACIONES PROVINCIALES,DIPUTACIONES PROVINCIALES
21,2016,G,5,52,,ADMNES. COMARCALES,ADMINISTRACIONES COMARCALES
22,2016,G,5,53,,AYUNTAMIENTOS,AYUNTAMIENTOS
23,2016,G,5,55,,C.A. ARAGÓN,COMUNIDAD AUTÓNOMA DE ARAGÓN
24,2016,G,5,59,,ONU,ORGANIZACIÓN NACIONES UNIDAS
25,2016,G,7,71,,ENTES PRIV.FINAN.,ENTES PRIVADOS FINANCIEROS
26,2016,G,7,72,,ENTES PRIV.NO FINAN.,ENTES PRIVADOS NO FINANCIEROS
27,2016,G,9,91,,RECURSOS PROPIOS,RECURSOS PROPIOS
28,2016,G,1,11,11099,FSE P. OPERAT. ANTER 2007,FSE PROG. OPERATIVOS ANTERIORES 2007
29,2016,G,1,11,11101,PROG.OP. FSE 2007-2013,PROGRAMA OPERATIVO FONDO SOCIAL EUROPEO 2007-2013
30,2016,G,1,11,11201,PROG.OP. FSE 2014-2020,PROGRAMA OPERATIVO FONDO SOCIAL EUROPEO 2014-2020
31,2016,G,1,12,12100,FONDOS ANTERIORES DE FEAGA GARANTÍA,FONDOS ANTERIORES DE FEAGA GARANTÍA
32,2016,G,1,12,12101,FEAGA GARANTÍA,FEAGA  GARANTÍA
33,2016,G,1,12,12102,FEADER 2007-2013,FEADER
34,2016,G,1,12,12202,FEADER 2014-2020,FEADER 2014-2020
35,2016,G,1,14,14099,FEDER P.OPERA. ANTER 2007,FEDER PROG. OPERATIVOS ANTERIORES 2007
36,2016,G,1,14,14101,PROG.OP. FEDER 2007-2013,PROGRAMA OPERATIVO FEDER 2007-2013
37,2016,G,1,14,14102,PROG. COOP. TRANSFRONTERI,PROGRAMA DE COOPERACIÓN TRANSFRONTERIZA
38,2016,G,1,14,14103,FEDER 2007-2013 PROY HITO,PROGRAMA OPERATIVO FEDER 2007-2013 PROYECTO HITO
39,2016,G,1,14,14104,PROG. COOP. INTERREGIONAL,PROGRAMA DE COOPERACIÓN INTERRREGIONAL
40,2016,G,1,14,14105,PROG.COMUNIT. 2007-2013 POCTEFA EFA200/11. CULTURA,PROG.COMUNIT. 2007-2013 POCTEFA EFA200/11. CULTURA
41,2016,G,1,14,14201,PROG.OP. FEDER 2014-2020,PROGRAMA OPERATIVO FEDER 2014-2020
42,2016,G,1,14,14202,POCTEFA 2014-2020,POCTEFA 2014-2020
43,2016,G,1,15,15101,FONDO EUROPEO DE PESCA,FONDO EUROPEO DE PESCA
44,2016,G,1,16,16001,FONDO DE COHESIÓN,FONDO DE COHESIÓN
45,2016,G,1,19,19001,U E  PUNTO INF EUROP,UNION EUROPEA  (PUNTO INFORMACIÓN EUROPEA)
46,2016,G,1,19,19002,CONV UE PRUEBAS COMP,CONVENIO UE PRUEBAS COMPARATIVAS
47,2016,G,1,19,19003,PROGRAMA LIFE,PROGRAMA LIFE
48,2016,G,1,19,19004,F. E. ADAPTACIÓN GLOBALIZ,FONDO EUROPEO DE ADAPTACIÓN A LA GLOBALIZACIÓN
49,2016,G,1,19,19005,CONVENIO BEI,CONVENIO BEI
50,2016,G,1,19,19006,PROYECTO EUROPEO GRIAL,PROYECTO EUROPEO GRIAL
51,2016,G,1,19,19090,OTROS PROGRAMAS UE,OTROS PROGRAMAS CON FINANCIACION UE
52,2016,G,3,31,31000,ADICIONAL INV. JUSTICIA,ADICIONAL INVERSIONES DE ADMON. DE JUSTICIA
53,2016,G,3,32,32100,PLAN MINER,PLAN MINER
54,2016,G,3,32,32200,FONDO ESP TERUEL,FONDO ESPECIAL TERUEL
55,2016,G,3,32,32300,DESARROLLO SOSENIBLE EN EL MEDIO RURAL,DESARROLO SOSTENIBLE EN EL MEDIO RURAL
56,2016,G,3,33,33002,C.S.EMPLEO- MOD. SPE,C.S.EMPLEO - MODERNIZACIÓN SERVICIO PÚBLICO EMPLEO
57,2016,G,3,33,33003,C.S.EMPLEO - MINISTERIO EMPLEO Y SS,C.S.EMPLEO - MINISTERIO EMPLEO Y SS
58,2016,G,3,33,33004,C.S.EMPLEO- F.P.  EMPLEO,C.S.EMPLEO - FORMACIÓN PROFESIONAL PARA EMPLEO
59,2016,G,3,33,33005,C.S.EMPLEO- FOMENTO DE EMPLEO,C.S.EMPLEO - FOMENTO EMPLEO
60,2016,G,3,33,33006,C.S.EMPLEO- PLAN EXTR. B1,C.S.EMPLEO - PLAN EXTRAORDINARIO BLOQUE 1
61,2016,G,3,33,33007,C.S.EMPLEO- PLAN EXTR. B2,C.S.EMPLEO - PLAN EXTRAORDINARIO BLOQUE 2
62,2016,G,3,33,33008,C.S. EMPLEO-REDTRABAJA@,C.S. EMPLEO-REDTRABAJA@
63,2016,G,3,33,33009,C.S.EMPLEO- ACUERDO MARCO AGENCIAS COLOCACIÓN,C.S.EMPLEO- ACUERDO MARCO AGENCIAS COLOCACIÓN
64,2016,G,3,34,34001,CSA NAC COMPLEM PAC,C.S. AGRICULTURA - AYUDAS NACIONALES COMPLEM. PAC
65,2016,G,3,34,34002,CSA ABAND PR LECHERA,C.S. AGRICULTURA - PROG. ABANDONO PROD. LECHERA
66,2016,G,3,34,34003,CSA COMPET AGRARIA,C.S. AGRICULTURA - MEJORA COMPETITIVIDAD AGRARIA
67,2016,G,3,34,34004,CSA AGROAMBIENTALES,C.S. AGRICULTURA - MEDIDAS AGROAMBIENTALES
68,2016,G,3,34,34005,CSA AYU PER FRUT SEC,C.S. AGRICULTURA - AYUDA PERMANENTE FRUTOS SECOS
