_id,EJERCICIO,GASTO/INGRESO,ORIGEN,FONDO,FINANCIACION,DESCRIPCION CORTA,DESCRIPCION LARGA
1,2023,G,1,,,UNIÓN EUROPEA,UNIÓN EUROPEA
2,2023,G,3,,,ADMINISTR. CENTRAL,ADMINISTRACIÓN CENTRAL
3,2023,G,5,,,OTRAS ADMINISTRACIONES PÚBLICAS,OTRAS ADMINISTRACIONES PÚBLICAS
4,2023,G,7,,,ENTES PRIVADOS,ENTES PRIVADOS
5,2023,G,9,,,RECURSOS PROPIOS,RECURSOS PROPIOS
6,2023,G,1,11,,FONDO SOCIAL EUROPEO,FONDO SOCIAL EUROPEO
7,2023,G,1,12,,FEAGA  - FEADER,FEAGA  - FEADER
8,2023,G,1,13,,FEOGA ORIENTACIÓN,FEOGA ORIENTACIÓN
9,2023,G,1,14,,F.E.D.E.R.,F.E.D.E.R.
10,2023,G,1,15,,IFOP - FEP,INSTR.FINANC. ORD. PESQUERA - FDO EUROPEO PESCA
11,2023,G,1,16,,FONDOS DE COHESIÓN,FONDOS DE COHESIÓN
12,2023,G,1,19,,OTRA FINANCIACIÓN EUROPEA,OTRA FINANCIACIÓN EUROPEA
13,2023,G,3,31,,Mº JUSTICIA,Mº JUSTICIA
14,2023,G,3,32,,PLANES ESPECÍFICOS,PLANES ESPECÍFICOS
15,2023,G,3,33,,CONF SECT DE EMPLEO,C.S. DE EMPLEO
16,2023,G,3,34,,CONF SECT DE AGRIC.,C.S. DE AGRICULTURA
17,2023,G,3,35,,CONF SECT DE S.SOC.,C.S. DE SERV. SOCIALES
18,2023,G,3,36,,CONF SECT DE M.AMB.,C.S. DE MEDIO AMBIENTE
19,2023,G,3,37,,PARTICIPACIÓN INGRESOS DEL ESTADO,PARTICIPACIÓN INGRESOS DEL ESTADO
20,2023,G,3,39,,OTR SUBV. ADM.CENTR.,OTRAS SUBVENCIONES DE LA ADMINISTRACIÓN CENTRAL
21,2023,G,5,51,,DIPUTACIONES PROVINCIALES,DIPUTACIONES PROVINCIALES
22,2023,G,5,52,,ADMNES. COMARCALES,ADMINISTRACIONES COMARCALES
23,2023,G,5,53,,AYUNTAMIENTOS,AYUNTAMIENTOS
24,2023,G,5,55,,C.A. ARAGÓN,COMUNIDAD AUTÓNOMA DE ARAGÓN
25,2023,G,5,58,,OTRAS ADMINISTRACIONES PÚBLICAS,OTRAS ADMINISTRACIONES PÚBLICAS
26,2023,G,5,59,,ONU,ORGANIZACIÓN NACIONES UNIDAS
27,2023,G,7,71,,ENTES PRIV.FINAN.,ENTES PRIVADOS FINANCIEROS
28,2023,G,7,72,,ENTES PRIV.NO FINAN.,ENTES PRIVADOS NO FINANCIEROS
29,2023,G,9,91,,RECURSOS PROPIOS,RECURSOS PROPIOS
30,2023,G,1,11,11099,FSE P. OPERAT. ANTER 2007,FSE PROG. OPERATIVOS ANTERIORES 2007
31,2023,G,1,11,11101,PROG.OP. FSE 2007-2013,PROGRAMA OPERATIVO FONDO SOCIAL EUROPEO 2007-2013
32,2023,G,1,11,11201,PROG.OP. FSE 2014-2020,PROGRAMA OPERATIVO FONDO SOCIAL EUROPEO 2014-2020
33,2023,G,1,11,11202,PROG.OP. FSE 2021-2027,PROGRAMA OPERATIVO FONDO SOCIAL EUROPEO 2021-2027
34,2023,G,1,11,11209,EUROPA REACT-UE,EUROPA REACT-UE
35,2023,G,1,12,12100,FONDOS ANTERIORES DE FEAGA GARANTÍA,FONDOS ANTERIORES DE FEAGA GARANTÍA
36,2023,G,1,12,12101,FEAGA GARANTÍA,FEAGA  GARANTÍA
37,2023,G,1,12,12102,FEADER 2007-2013,FEADER
38,2023,G,1,12,12202,FEADER 2014-2020,FEADER 2014-2020
39,2023,G,1,12,12203,NEXT GENERATION RURAL DEVELOPMENT FEADER,NEXT GENERATION RURAL DEVELOPMENT FEADER
40,2023,G,1,12,12204,FEADER 2023-2027,FEADER 2023-2027
41,2023,G,1,12,12205,ASISTENCIA TÉCNICA PEPAC,ASISTENCIA TÉCNICA PEPAC
42,2023,G,1,14,14099,FEDER P.OPERA. ANTER 2007,FEDER PROG. OPERATIVOS ANTERIORES 2007
43,2023,G,1,14,14101,PROG.OP. FEDER 2007-2013,PROGRAMA OPERATIVO FEDER 2007-2013
44,2023,G,1,14,14102,PROG. COOP. TRANSFRONTERI,PROGRAMA DE COOPERACIÓN TRANSFRONTERIZA
45,2023,G,1,14,14103,FEDER 2007-2013 PROY HITO,PROGRAMA OPERATIVO FEDER 2007-2013 PROYECTO HITO
46,2023,G,1,14,14104,PROG. COOP. INTERREGIONAL,PROGRAMA DE COOPERACIÓN INTERRREGIONAL
47,2023,G,1,14,14105,PROG.COMUNIT. 2007-2013 POCTEFA EFA200/11. CULTURA,PROG.COMUNIT. 2007-2013 POCTEFA EFA200/11. CULTURA
48,2023,G,1,14,14106,INTERREG EUROPE 2014-2020,INTERREG EUROPE 2014-2020
49,2023,G,1,14,14201,PROG.OP. FEDER 2014-2020,PROGRAMA OPERATIVO FEDER 2014-2020
50,2023,G,1,14,14202,POCTEFA 2014-2020,POCTEFA 2014-2020
51,2023,G,1,14,14203,POCTEFA - ECOGYP,POCTEFA - ECOGYP
52,2023,G,1,14,14204,POCTEFA - HABIOS,POCTEFA - HABIOS
53,2023,G,1,14,14205,INTERREG SUDOE Praderas,INTERREG SUDOE Praderas
54,2023,G,1,14,14206,POCTEFA - Ordesa,POCTEFA - Ordesa
55,2023,G,1,14,14207,INTERREG SUDOE 2014-2020,INTERREG SUDOE 2014-2020
56,2023,G,1,14,14208,INTERREG EUROPE 2014-2020,INTERREG EUROPE 2014-2020
57,2023,G,1,14,14209,EUROPA REACT-UE,EUROPA REACT-UE
