_id,Ejercicio,Centro Gestor,Economico,Financiacion,Descripcion,Prevision Inicial,Modificaciones,Prevision Definitiva,D.Rec. Netos,Recaudado Neto
1,2024,12000,381006,91003,"Reintegros ej. corriente de Educ,Uni,Cult y Deport",,"50.000,00","50.000,00",,
2,2024,12500,100000,91003,Tarifa Autonómica del I.R.P.F.,"1.926.750.129,75","51.818.750,25","1.978.568.880,00","1.978.568.880,00","1.978.568.880,00"
3,2024,12500,100006,91003,Tarifa Autonómica IRPF Ejercicios Anteriores,"233.594.480,00","-46.053.821,67","187.540.658,33","187.540.658,33","187.540.658,33"
4,2024,12500,110000,91003,Sobre adquisiciones por herencia o legado,"130.000.000,00",,"130.000.000,00",,
5,2024,12500,110003,91003,Donaciones,"5.000.000,00",,"5.000.000,00",,
6,2024,12500,111000,91003,Sobre el patrimonio neto de las personas físicas,"38.500.000,00",,"38.500.000,00",,
7,2024,12500,112000,91003,Sobre Grandes superficies,"5.500.000,00",,"5.500.000,00",,
8,2024,12500,115000,91003,Impuestos Depósitos Entidades de Crédito,"10.500.000,00",,"10.500.000,00",,
9,2024,12500,200000,91003,Sobre Transmisiones Patrimoniales Onerosas,"148.000.000,00",,"148.000.000,00",,
10,2024,12500,200001,91003,Sobre Operaciones Societarias,"1.300.000,00",,"1.300.000,00",,
11,2024,12500,200002,91003,Sobre Transmisiones de vehículos,"2.300.000,00",,"2.300.000,00",,
12,2024,12500,201000,91003,Documentos Notariales,"60.000.000,00",,"60.000.000,00",,
13,2024,12500,201002,91003,Documentos Administrativos,"800.000,00",,"800.000,00",,
14,2024,12500,210001,91003,I.V.A. Sobre Operaciones Internas,"1.402.443.439,50","-52.649.019,54","1.349.794.419,96","1.349.794.420,00","1.349.794.420,00"
15,2024,12500,210017,91003,IVA Liquidación Ejercicios Anteriores,"-50.552.200,00","132.667.438,23","82.115.238,23","82.115.238,23","82.115.238,23"
16,2024,12500,220000,91003,Sobre el alcohol y bebidas derivadas,"18.519.668,40","-1.813.728,48","16.705.939,92","16.705.940,00","16.705.940,00"
17,2024,12500,220001,91003,Sobre Cerveza,"6.354.386,40","66.693,60","6.421.080,00","6.421.080,00","6.421.080,00"
18,2024,12500,220003,91003,Sobre labores de tabaco,"129.724.838,40","1.325.191,56","131.050.029,96","131.050.030,00","131.050.030,00"
19,2024,12500,220005,91003,Sobre determinados medios de transporte,"13.500.000,00",,"13.500.000,00",,
20,2024,12500,220006,91003,Sobre productos intermedios,"546.877,50","-112.767,54","434.109,96","434.110,00","434.110,00"
21,2024,12500,220007,91003,Sobre energía (electricidad),"63.594.408,90","-10.996.558,98","52.597.849,92","52.597.850,00","52.597.850,00"
22,2024,12500,220008,91003,Sobre hidrocarburos,"403.452.267,30","-78.974.917,38","324.477.349,92","324.477.350,00","324.477.350,00"
23,2024,12500,220009,91003,Impuesto Especial (Ejercicios anteriores),"-60.604.600,00","60.604.600,00",0,,
24,2024,12500,220010,91003,Sobre alcohol y bebidas derivadas - (Ej. anteriore,,"3.525.954,07","3.525.954,07","3.525.954,07","3.525.954,07"
25,2024,12500,220011,91003,Sobre Cerveza - (Ej. anteriores),,"-114.218,42","-114.218,42","-114.218,42","-114.218,42"
26,2024,12500,220013,91003,Sobre labores de tabaco - (Ej. anteriores),,"-6.935.499,33","-6.935.499,33","-6.935.499,33","-6.935.499,33"
27,2024,12500,220016,91003,Sobre productos intermedios - (Ej. anteriores),,"63.073,75","63.073,75","63.073,75","63.073,75"
28,2024,12500,220017,91003,Sobre energía (electricidad) - (Ej. anteriores),,"-53.326.712,01","-53.326.712,01","-53.326.712,01","-53.326.712,01"
29,2024,12500,220018,91003,Sobre hidrocarburos - (Ej. anteriores),,"-18.520.102,35","-18.520.102,35","-18.520.102,35","-18.520.102,35"
30,2024,12500,232000,91003,S/ Emisiones contaminantes,"110.000,00",,"110.000,00",,
