_id,Ejercicio,Centro Gestor,Economico,Financiacion,Descripcion,Prevision Inicial,Modificaciones,Prevision Definitiva,D.Rec. Netos,Recaudado Neto
1,2022,12500,100000,91003,Tarifa Autonómica del I.R.P.F.,1541461390,,1541461390,1541461380,1541461380
2,2022,12500,100006,91003,Tarifa Autonómica IRPF Ejercicios Anteriores,-2064020,,-2064020,"13955249,88","13955249,88"
3,2022,12500,110000,91003,Sobre adquisiciones por herencia o legado,100500000,"53924102,76","154424102,76",,
4,2022,12500,110003,91003,Donaciones,5000000,"1282824,69","6282824,69",,
5,2022,12500,111000,91003,Sobre el patrimonio neto de las personas físicas,45965000,11740444,57705444,,
6,2022,12500,112000,91003,Sobre Grandes superficies,5500000,,5500000,,
7,2022,12500,115000,91003,Impuestos Depósitos Entidades de Crédito,10000000,,10000000,,
8,2022,12500,200000,91003,Sobre Transmisiones Patrimoniales Onerosas,106850000,"54121646,97","160971646,97",,
9,2022,12500,200001,91003,Sobre Operaciones Societarias,1500000,,1500000,,
10,2022,12500,200002,91003,Sobre Transmisiones de vehículos,2500000,,2500000,,
11,2022,12500,201000,91003,Documentos Notariales,53600000,"12998750,93","66598750,93",,
12,2022,12500,201002,91003,Documentos Administrativos,1650000,,1650000,,
13,2022,12500,210001,91003,I.V.A. Sobre Operaciones Internas,1186414150,,1186414150,1186414150,1186414150
14,2022,12500,210017,91003,IVA Liquidación Ejercicios Anteriores,-188186500,,-188186500,"-213203286,9","-213203286,9"
15,2022,12500,220000,91003,Sobre el alcohol y bebidas derivadas,13215510,,13215510,13215510,13215510
16,2022,12500,220001,91003,Sobre Cerveza,6145470,,6145470,6145470,6145470
17,2022,12500,220003,91003,Sobre labores de tabaco,135075240,,135075240,135075240,135075240
18,2022,12500,220005,91003,Sobre determinados medios de transporte,9000000,,9000000,,
19,2022,12500,220006,91003,Sobre productos intermedios,373460,,373460,373460,373460
20,2022,12500,220007,91003,Sobre energía (electricidad),63591080,,63591080,63591080,63591080
21,2022,12500,220008,91003,Sobre hidrocarburos,346539640,,346539640,346539640,346539640
22,2022,12500,220009,91003,Impuesto Especial (Ejercicios anteriores),-59973370,,-59973370,,
23,2022,12500,220010,91003,Sobre alcohol y bebidas derivadas - (Ej. anteriore,,,,"-4208190,38","-4208190,38"
24,2022,12500,220011,91003,Sobre Cerveza - (Ej. anteriores),,,,"-1311444,7","-1311444,7"
25,2022,12500,220013,91003,Sobre labores de tabaco - (Ej. anteriores),,,,"-393089,59","-393089,59"
26,2022,12500,220016,91003,Sobre productos intermedios - (Ej. anteriores),,,,"-67221,52","-67221,52"
27,2022,12500,220017,91003,Sobre energía (electricidad) - (Ej. anteriores),,,,"-4978871,63","-4978871,63"
28,2022,12500,220018,91003,Sobre hidrocarburos - (Ej. anteriores),,,,"-50519669,49","-50519669,49"
29,2022,12500,232000,91003,S/ Emisiones contaminantes,870000,,870000,,
30,2022,12500,234000,91003,S/ aprovechamiento hidroeléctrico,17045460,,17045460,,
31,2022,12500,235000,91003,S/ líneas de alta tensión,2016000,,2016000,,
32,2022,12500,240000,91003,Casinos,350000,,350000,,
33,2022,12500,240001,91003,Bingos,11370000,,11370000,,
34,2022,12500,240002,91003,Máquinas recreativas,26000000,,26000000,,
35,2022,12500,240003,91003,"Loterías,rifas,boletos y combinaciones aleatorias",1900000,,1900000,,
36,2022,12500,240004,91003,Bingo Electrónico,380000,,380000,,
37,2022,12500,250000,91003,Impuesto s/ actividades de juego,2760000,,2760000,,
38,2022,12500,300050,91003,Venta de Bienes de Cortes de Aragón,9000,,9000,9000,6750
39,2022,12500,301006,91003,"Venta de Public de Educ., U., C. y Deporte (No ope",,,,"4764,17","3043,19"
40,2022,12500,301050,91003,Venta de Publicac. de Cortes de Aragón,5000,,5000,5000,3750
41,2022,12500,301100,91003,Venta de Publicaciones Departamentos y Org. Públic,3000,,3000,,
42,2022,12500,302000,91003,Venta de cartones de bingo,150000,,150000,1486,1486
43,2022,12500,303000,91003,Venta de impresos,1500,,1500,742,742
44,2022,12500,310050,91003,Entradas Cortes de Aragón,185000,,185000,185000,138750
45,2022,12500,319005,91003,"Prestación Serv. de Sanidad, B. Social y Familia",,,,"8189,84","8189,84"
46,2022,12500,319006,91003,"Prestación Serv. de Educ., Cult. y Dpte","1944932,78",,"1944932,78","1480875,73","1198225,16"
47,2022,12500,319103,91003,Prestación de servicios en guarderías,1187670,,1187670,"960449,6","900623,23"
48,2022,12500,319111,91003,Cuotas alumnos Inst. Formación Agroambiental,,,,1836,1836
49,2022,12500,319118,91003,Prestación Servicios RACI,17300,,17300,,
50,2022,12500,319200,91003,Prestación Servicios - Copagos,64500,,64500,,
51,2022,12500,319201,91003,"Prest Serv - Asesoramiento Jurídico EP, Fund y Con",200000,,200000,"169684,33",151145
52,2022,12500,319321,91003,Transporte Sanitario por Helicóptero,250000,,250000,"397345,24","296196,43"
53,2022,12500,319324,91003,Prestación del servicio de comedor,"18576164,3",,"18576164,3",,
54,2022,12500,329001,91003,Tasa 01- Dirección e inspección de obras,1740000,,1740000,"2184467,51","1484484,7"
55,2022,12500,329003,91003,"Tasa 03- Serv.admvos, redacc. informes,activ. fac.",183764,,183764,"181570,76","159662,88"
56,2022,12500,329004,91003,Tasa 04- Por Autorizacones Espectáculos Públicos,33525,,33525,"42926,05","42926,05"
57,2022,12500,329005,91003,Tasa 05-S. Mat. orde. transp. terr carretera,1444753,,1444753,"1249602,69","1249602,69"
58,2022,12500,329008,91003,Tasa 08-Ocup. terrenos o uso Bienes Dominio Públic,,,,"1953,91","1863,13"
59,2022,12500,329010,91003,Tasa 10-S. facultativos agronómicos,3802,,3802,"268466,13","268466,13"
60,2022,12500,329011,91003,Tasa 11-Servicios  facultativos veterinarios,850000,,850000,"802611,67","802611,67"
61,2022,12500,329012,91003,Tasa 12-Ins. y ctroles sanitarios  anim y sus prod,1840000,,1840000,"1623453,85","1600100,28"
62,2022,12500,329013,91003,"Tasa 13-Aut., Inspec., materia centros sanitarios",1200000,,1200000,"1093278,63","1093278,63"
63,2022,12500,329014,91003,Tasa 14-Ord. activ. indust. energ. metrol. mineras,2130000,,2130000,"2653925,1","2599754,52"
64,2022,12500,329015,91003,Tasa 15-Serv. exped. titulos académicos y profesio,"600026,08",,"600026,08","642489,8","642489,8"
65,2022,12500,329016,91003,Tasa 16-Expedición licencias caza y pesca,,,,30465,30465
66,2022,12500,329017,91003,"Tasa 17-S. facul. montes, forestales y v. pecuaria",450000,,450000,"572874,8","540671,06"
67,2022,12500,329019,91003,Tasa 19-S. Adtvod y Técnicos de juego,918000,,918000,"795712,27","795712,27"
68,2022,12500,329020,91003,"Tasa 20-Aut, Insp y actu. cen y est. farmaceúticos",40000,,40000,"40611,76","40611,76"
69,2022,12500,329021,91003,Tasa 21-Aut. Insp. centros Servicios Sociales,30000,,30000,"14684,75","14684,75"
70,2022,12500,329022,91003,Tasa 22-Inserción anuncios en el BOA,500000,,500000,"641710,96","641710,96"
71,2022,12500,329023,91003,"Tasa 23-Inscripción y Publicidad Asoc,Fun,CP y CCA",79000,,79000,"58746,59","58746,59"
72,2022,12500,329024,91003,Tasa 24-Derechos Examen pruebas selectiva C.Aut.,100000,"648724,2","748724,2","988417,7","988417,7"
73,2022,12500,329025,91003,Tasa 25-S. Registro Territorial P.Intelectual de A,9000,,9000,"6699,54","6626,29"
74,2022,12500,329032,91003,Tasa 32-Tasa act. serv. radiodifusión y televisión,1500,,1500,"1756,57","1756,57"
75,2022,12500,329033,91003,Tasa 33-Tasa por ocup. v.pecuar. y conc.uso dom.p.,,,,"517578,42","469007,61"
76,2022,12500,329037,91003,Tasa 37-Tasa dchos. de exam. pruebas de acceso FP,677280,,677280,"164879,5","164879,5"
77,2022,12500,329038,91003,Tasa 38- S. admtvos diligencias bastanteo de poder,6084,,6084,"6140,8","6140,8"
78,2022,12500,329039,91003,Tasa39-Insc pruebas obt. tit. postobligatorios,60000,,60000,"48959,29","48959,29"
79,2022,12500,329040,91003,Tasa 40-Tasa s. adm actuaciones gestión tributaria,,,,"242237,1","242237,1"
80,2022,12500,329042,91003,Tasa 42 - Análisis e Informes del Lab. Salud Públi,20000,,20000,"16525,63","16525,63"
81,2022,12500,329043,91003,Tasa 43- Inscripción Cooperativas y Sdes. Laboral,7400,,7400,"6347,64","6347,64"
82,2022,12500,329044,91003,Tasa 44- Autorización Agencias de Colocación,17700,,17700,"10748,4","10748,4"
83,2022,12500,329045,91003,Tasa 45- Inscripción Centros Colaboradores,83000,,83000,"102490,81","102490,81"
84,2022,12500,329046,91003,Tasa 46- Serv. prestados Reg. Cooperativas Aragón,19000,,19000,"17241,63","17241,63"
85,2022,12500,329047,91003,Tasa 47- Serv. prestados Reg. adm. Sociedades Lab.,1300,,1300,"931,61","931,61"
86,2022,12500,329048,72013,Tasa 48- Ocupación o Concesión del uso privativo,,,,"272848,21","247313,42"
87,2022,12500,329051,91003,Tasa 51.-Tramitac.Expropiac.Ocupac.servidum.regadi,,,,645,645
88,2022,12500,329054,91003,Tasa 54.-Inscrip pruebas certific lengua aragonesa,,,,2700,2700
89,2022,12500,330000,91003,Precios Públicos del Laboratorio Agroalimentario,48000,,48000,"60840,7","58241,85"
90,2022,12500,330001,91003,Precios Públicos del C. Transferencia Agroalimenta,,,,30,30
91,2022,12500,330004,91003,Precios Públicos del Laboratorio Calidad Edificaci,,,,"7823,14","5813,23"
92,2022,12500,330005,91003,Precios Públicos en materia de deportes,68000,,68000,"15751,1","2023,6"
93,2022,12500,330006,91003,Instalaciones deportivas,50000,,50000,"72886,6","72886,6"
94,2022,12500,330007,91003,Actividades Deportivas,4200,,4200,703,703
