_id,Ejercicio,Centro Gestor,Economico,Financiacion,Descripcion,Prevision Inicial,Modificaciones,Prevision Definitiva,D.Rec. Netos,Recaudado Neto
1,2020,12500,100000,91003,Tarifa Autonómica del I.R.P.F.,"1.448.713.525,54",,"1.448.713.525,54","1.442.610.230,00","1.442.610.230,00"
2,2020,12500,100006,91003,Tarifa Autonómica IRPF Ejercicios Anteriores,"44.818.925,53",,"44.818.925,53","107.512.922,91","107.512.922,91"
3,2020,12500,110000,91003,Sobre adquisiciones por herencia o legado,"105.000.000,00",,"105.000.000,00",,
4,2020,12500,110003,91003,Donaciones,"500.000,00",,"500.000,00",,
5,2020,12500,111000,91003,Sobre el patrimonio neto de las personas físicas,"45.000.000,00",,"45.000.000,00",,
6,2020,12500,115000,91003,Impuestos Depósitos Entidades de Crédito,"10.200.000,00",,"10.200.000,00",,
7,2020,12500,200000,91003,Sobre Transmisiones Patrimoniales Onerosas,"130.000.000,00",,"130.000.000,00",,
8,2020,12500,200002,91003,Sobre Transmisiones de vehículos,"2.500.000,00",,"2.500.000,00",,
9,2020,12500,201000,91003,Documentos Notariales,"65.000.000,00",,"65.000.000,00",,
10,2020,12500,201002,91003,Documentos Administrativos,"2.100.000,00",,"2.100.000,00",,
11,2020,12500,202000,91003,Sobre operaciones societarias,"1.500.000,00",,"1.500.000,00",,
12,2020,12500,210001,91003,I.V.A. Sobre Operaciones Internas,"1.268.048.220,00",,"1.268.048.220,00","1.201.752.390,00","1.201.752.390,00"
13,2020,12500,210017,91003,IVA Liquidación Ejercicios Anteriores,"3.674.500,00",,"3.674.500,00","-8.554.728,27","-8.554.728,27"
14,2020,12500,220000,91003,Sobre el alcohol y bebidas derivadas,"19.002.320,00",,"19.002.320,00","15.102.060,00","15.102.060,00"
15,2020,12500,220001,91003,Sobre Cerveza,"6.646.230,00",,"6.646.230,00","6.583.660,00","6.583.660,00"
16,2020,12500,220003,91003,Sobre labores de tabaco,"165.750.880,00",,"165.750.880,00","125.494.280,00","125.494.280,00"
17,2020,12500,220005,91003,Sobre determinados medios de transporte,"12.000.000,00",,"12.000.000,00",,
18,2020,12500,220006,91003,Sobre productos intermedios,"455.250,00",,"455.250,00","394.710,00","394.710,00"
19,2020,12500,220007,91003,Sobre energía (electricidad),"78.639.530,00",,"78.639.530,00","60.245.830,00","60.245.830,00"
20,2020,12500,220008,91003,Sobre hidrocarburos,"412.054.420,00",,"412.054.420,00","348.388.180,00","348.388.180,00"
21,2020,12500,220009,91003,Impuesto Especial (Ejercicios anteriores),"-2.450.130,00",,"-2.450.130,00",,
22,2020,12500,220010,91003,Sobre alcohol y bebidas derivadas - (Ej. anteriore,,,,"-1.134.341,84","-1.134.341,84"
23,2020,12500,220011,91003,Sobre Cerveza - (Ej. anteriores),,,,"-318.573,16","-318.573,16"
24,2020,12500,220013,91003,Sobre labores de tabaco - (Ej. anteriores),,,,"-7.305.436,80","-7.305.436,80"
25,2020,12500,220016,91003,Sobre productos intermedios - (Ej. anteriores),,,,"-91.142,85","-91.142,85"
26,2020,12500,220017,91003,Sobre energía (electricidad) - (Ej. anteriores),,,,"-1.048.502,02","-1.048.502,02"
27,2020,12500,220018,91003,Sobre hidrocarburos - (Ej. anteriores),,,,"-19.478.707,03","-19.478.707,03"
28,2020,12500,231000,91003,S/ sobre grandes áreas de venta,"4.800.000,00",,"4.800.000,00",,
29,2020,12500,232000,91003,S/ Emisiones contaminantes,"450.000,00",,"450.000,00",,
30,2020,12500,234000,91003,S/ aprovechamiento hidroeléctrico,"17.000.000,00",,"17.000.000,00",,
31,2020,12500,235000,91003,S/ líneas de alta tensión,"2.000.000,00",,"2.000.000,00",,
32,2020,12500,240000,91003,Casinos,"400.000,00",,"400.000,00",,
33,2020,12500,240001,91003,Bingos,"12.000.000,00",,"12.000.000,00",,
34,2020,12500,240002,91003,Máquinas recreativas,"28.500.000,00",,"28.500.000,00",,
35,2020,12500,240003,91003,"Loterías,rifas,boletos y combinaciones aleatorias","1.850.000,00",,"1.850.000,00",,
36,2020,12500,240004,91003,Bingo Electrónico,"200.000,00",,"200.000,00",,
37,2020,12500,250000,91003,Impuesto s/ actividades de juego,"3.500.000,00",,"3.500.000,00",,
38,2020,12500,300050,91003,Venta de Bienes de Cortes de Aragón,"35.000,00",,"35.000,00","35.000,00","26.250,00"
39,2020,12500,301006,91003,"Venta de Public de Educ., U., C. y Deporte (No ope",,,,"2.285,26","1.559,53"
40,2020,12500,301050,91003,Venta de Publicac. de Cortes de Aragón,"10.000,00",,"10.000,00","10.000,00","7.500,00"
41,2020,12500,301100,91003,Venta de Publicaciones Departamentos y Org. Públic,"4.000,00",,"4.000,00",,
42,2020,12500,302000,91003,Venta de cartones de bingo,"320.000,00",,"320.000,00","150.206,72","150.206,72"
43,2020,12500,303000,91003,Venta de impresos,"3.000,00",,"3.000,00","1.514,11","1.514,11"
44,2020,12500,310050,91003,Entradas Cortes de Aragón,"250.000,00",,"250.000,00","250.000,00","187.500,00"
45,2020,12500,319005,91003,"Prestación Serv. de Sanidad, B. Social y Familia",,,,"25.046,64","25.046,64"
46,2020,12500,319006,91003,"Prestación Serv. de Educ., Cult. y Dpte","1.978.180,00",,"1.978.180,00","1.698.056,57","1.104.533,31"
47,2020,12500,319103,91003,Prestación de servicios en guarderías,"920.000,00",,"920.000,00","567.971,94","567.799,94"
48,2020,12500,319111,91003,Cuotas alumnos Inst. Formación Agroambiental,"15.800,00",,"15.800,00",636,636
49,2020,12500,319118,91003,Prestación Servicios RACI,"17.680,46",,"17.680,46","17.285,06","17.285,06"
50,2020,12500,319200,91003,Prestación Servicios - Copagos,"144.602,44",,"144.602,44",,
51,2020,12500,319201,91003,"Prest Serv - Asesoramiento Jurídico EP, Fund y Con","200.000,00",,"200.000,00","112.521,07","102.500,00"
52,2020,12500,319321,91003,Transporte Sanitario por Helicóptero,"180.000,00",,"180.000,00","224.987,00","156.005,00"
53,2020,12500,319324,91003,Prestación del servicio de comedor,"17.569.382,68",,"17.569.382,68",,
54,2020,12500,329001,91003,Tasa 01- Dirección e inspección de obras,"1.770.000,00",,"1.770.000,00","1.462.009,78","1.177.459,48"
55,2020,12500,329002,91003,"Tasa 02- Redac. proyec,confr,tasación obra y proy.",,,,"5.701,90","5.701,90"
56,2020,12500,329003,91003,"Tasa 03- Serv.admvos, redacc. informes,activ. fac.","40.600,00",,"40.600,00","112.272,82","103.714,27"
57,2020,12500,329004,91003,Tasa 04- Por Autorizacones Espectáculos Públicos,"68.950,00",,"68.950,00","9.737,53","9.737,53"
58,2020,12500,329005,91003,Tasa 05-S. Mat. orde. transp. terr carretera,"1.000.000,00",,"1.000.000,00","1.519.462,83","1.519.462,83"
59,2020,12500,329010,91003,Tasa 10-S. facultativos agronómicos,"2.000,00",,"2.000,00","226.579,96","226.579,96"
60,2020,12500,329011,91003,Tasa 11-Servicios  facultativos veterinarios,"900.000,00",,"900.000,00","823.186,84","823.124,96"
61,2020,12500,329012,91003,Tasa 12-Ins. y ctroles sanitarios  anim y sus prod,"2.124.000,00",,"2.124.000,00","1.265.030,14","1.265.030,14"
