_id,Ejercicio,Centro Gestor,Economico,Financiacion,Descripcion,Prevision Inicial,Modificaciones,Prevision Definitiva,D.Rec. Netos,Recaudado Neto
1,2016,12500,100000,91003,Tarifa Autonómica del I.R.P.F.,"1.143.662.618,00",,"1.143.662.618,00","1.105.014.920,00","1.105.014.920,00"
2,2016,12500,100001,91003,Tarifa Autonómica del I.R.P.F. - Ejercicio 2009,,,,"-25.646.603,88","-25.646.603,88"
3,2016,12500,100005,91003,Tarifa Autonómica del IRPF. Liquidación Ej. 2014,,,,"43.669.663,06","43.669.663,06"
4,2016,12500,110000,91003,Sobre adquisiciones por herencia o legado,"123.000.000,00",,"123.000.000,00",,
5,2016,12500,110003,91003,Donaciones,"7.400.000,00",,"7.400.000,00",,
6,2016,12500,111000,91003,Sobre el patrimonio neto de las personas físicas,"44.277.500,00",,"44.277.500,00",,
7,2016,12500,115000,91003,Impuestos Depósitos Entidades de Crédito,"10.200.000,00",,"10.200.000,00",,
8,2016,12500,200000,91003,Sobre Transmisiones Patrimoniales Onerosas,"136.900.000,00",,"136.900.000,00",,
9,2016,12500,200001,91003,Sobre Operaciones Societarias,"1.200.000,00",,"1.200.000,00",,
10,2016,12500,200002,91003,Sobre Transmisiones de vehículos,"4.800.000,00",,"4.800.000,00",,
11,2016,12500,201000,91003,Efectos timbrados y otros,"59.650.000,00",,"59.650.000,00",,
12,2016,12500,201001,91003,Exceso letras de cambio,"50.000,00",,"50.000,00",,
13,2016,12500,201002,91003,Reintegros a metálico,"2.100.000,00",,"2.100.000,00",,
14,2016,12500,210001,91003,I.V.A. Sobre Operaciones Internas,"991.319.312,00","5.135.697,40","996.455.009,40","998.114.610,00","998.114.610,00"
15,2016,12500,210012,91003,Impuesto Valor Añadido - Ejercicio 2009,,,,"-45.108.169,34","-45.108.169,34"
16,2016,12500,210016,91003,Impuesto Valor Añadido - Ejercicio 2014,,,,"9.396.518,40","9.396.518,40"
17,2016,12500,220000,91003,Sobre el alcohol y bebidas derivadas,"11.758.268,00","1.096.160,30","12.854.428,30","14.089.010,00","14.089.010,00"
18,2016,12500,220001,91003,Sobre Cerveza,"5.263.373,00","474.562,67","5.737.935,67","5.274.900,00","5.274.900,00"
19,2016,12500,220003,91003,Sobre labores de tabaco,"131.763.456,00",,"131.763.456,00","131.771.280,00","131.771.280,00"
20,2016,12500,220005,91003,Sobre determinados medios de transporte,"7.000.000,00",,"7.000.000,00",,
21,2016,12500,220006,91003,Sobre productos intermedios,"323.704,00","3.374,48","327.078,48","323.750,00","323.750,00"
22,2016,12500,220007,91003,Sobre energía (electricidad),"61.660.690,00",,"61.660.690,00","61.660.690,00","61.660.690,00"
23,2016,12500,220008,91003,Sobre hidrocarburos,"304.250.516,00","10.000.000,00","314.250.516,00","304.699.080,00","304.699.080,00"
24,2016,12500,220010,91003,Sobre alcohol y bebidas derivadas - Ejercicio 2009,,,,"-361.159,86","-361.159,86"
25,2016,12500,220011,91003,Sobre Cerveza - Ejercicio 2009,,,,"-47.032,93","-47.032,93"
26,2016,12500,220013,91003,Sobre labores de tabaco - Ejercicio 2009,,,,"-31.915,83","-31.915,83"
27,2016,12500,220016,91003,Sobre productos intermedios - Ejercicio 2009,,,,"-5.902,31","-5.902,31"
28,2016,12500,220018,91003,Sobre hidrocarburos - Ejercicio 2009,,,,"-1.830.109,32","-1.830.109,32"
29,2016,12500,220049,91003,Tramo autonómico s/hidrocarburos,"18.900.000,00",,"18.900.000,00",,
30,2016,12500,220051,91003,Sobre Cerveza. Liq. ejercicio 2014,,,,"474.562,67","474.562,67"
31,2016,12500,220052,91003,Sobre Alcohol y bebidas deriv. Liq. ejercicio 2014,,,,"-1.146.061,70","-1.146.061,70"
32,2016,12500,220053,91003,Sobre labores del tabaco. Liq. ejercicio 2014,,,,"-10.467.093,61","-10.467.093,61"
33,2016,12500,220056,91003,S/ productos intermedios ej. 2014,,,,"6.969,15","6.969,15"
34,2016,12500,220057,91003,Sobre Energía Eléctrica. Liq. ejercicio 2014,,,,"-11.619.951,33","-11.619.951,33"
