_id,Ejercicio,Centro Gestor,Economico,Financiacion,Descripcion,Prevision Inicial,Modificaciones,Prevision Definitiva,D.Rec. Netos,Recaudado Neto
1,2015,12500,100000,91003,Tarifa Autonómica del I.R.P.F.,"1.097.677.000,00",,"1.097.677.000,00","1.129.381.520,00","1.129.381.520,00"
2,2015,12500,100001,91003,Tarifa Autonómica del I.R.P.F. - Ejercicio 2009,,,,"-4.254.211,41","-4.254.211,41"
3,2015,12500,100004,91003,Tarifa Autonómica del IRPF. Liquidación Ej. 2013,,,,"-18.129.974,27","-18.129.974,27"
4,2015,12500,110000,91003,Sobre adquisiciones por herencia o legado,"168.937.848,80",,"168.937.848,80",,
5,2015,12500,110003,91003,Donaciones,"8.173.432,96",,"8.173.432,96",,
6,2015,12500,111000,91003,Sobre el patrimonio neto de las personas físicas,"35.603.592,77",,"35.603.592,77",,
7,2015,12500,112000,91003,Sobre Grandes superficies,"9.554.769,49",,"9.554.769,49",,
8,2015,12500,113000,91003,Sobre emisiones contaminantes,"1.333.955,44",,"1.333.955,44",,
9,2015,12500,200000,91003,Sobre Transmisiones Patrimoniales Onerosas,"135.838.962,00",,"135.838.962,00","0,00","0,00"
10,2015,12500,200001,91003,Sobre Operaciones Societarias,"13.144.353,52",,"13.144.353,52","0,00","0,00"
11,2015,12500,200002,91003,Sobre Transmisiones de vehículos,"3.454.164,06",,"3.454.164,06",,
12,2015,12500,201000,91003,Efectos timbrados y otros,"50.769.223,26",,"50.769.223,26",,
13,2015,12500,201001,91003,Exceso letras de cambio,"991.394,95",,"991.394,95",,
14,2015,12500,201002,91003,Reintegros a metálico,"4.292.808,68",,"4.292.808,68",,
15,2015,12500,210001,91003,I.V.A. Sobre Operaciones Internas,"962.241.000,00",,"962.241.000,00","996.369.040,00","996.369.040,00"
16,2015,12500,210011,91003,Impuesto Valor Añadido - Ejercicio 2008,,,,"-3.120.074,48","-3.120.074,48"
17,2015,12500,210012,91003,Impuesto Valor Añadido - Ejercicio 2009,,,,"-7.482.459,72","-7.482.459,72"
18,2015,12500,210015,91003,Impuesto Valor Añadido - Ejercicio 2013,,,,"-56.724.289,48","-56.724.289,48"
19,2015,12500,220000,91003,Sobre el alcohol y bebidas derivadas,"14.255.000,00",,"14.255.000,00","14.672.250,00","14.672.250,00"
20,2015,12500,220001,91003,Sobre Cerveza,"4.806.000,00",,"4.806.000,00","4.931.730,00","4.931.730,00"
21,2015,12500,220003,91003,Sobre labores de tabaco,"121.028.000,00",,"121.028.000,00","123.969.950,00","123.969.950,00"
22,2015,12500,220005,91003,Sobre determinados medios de transporte,"12.874.476,83",,"12.874.476,83",,
23,2015,12500,220006,91003,Sobre productos intermedios,"346.000,00",,"346.000,00","355.390,00","355.390,00"
24,2015,12500,220007,91003,Sobre energía (electricidad),"60.619.000,00",,"60.619.000,00","62.089.460,00","62.089.460,00"
25,2015,12500,220008,91003,Sobre hidrocarburos,"288.326.000,00",,"288.326.000,00","295.682.220,00","295.682.220,00"
26,2015,12500,220010,91003,Sobre alcohol y bebidas derivadas - Ejercicio 2009,,,,"-60.075,27","-60.075,27"
27,2015,12500,220011,91003,Sobre Cerveza - Ejercicio 2009,,,,"-7.802,63","-7.802,63"
