_id,Ejercicio,Centro Gestor,Economico,Financiacion,Descripcion,Prevision Inicial,Modificaciones,Prevision Definitiva,D.Rec. Netos,Recaudado Neto
1,2023,12500,100000,91003,Tarifa Autonómica del I.R.P.F.,"1.806.338.150,00",,"1.806.338.150,00","1.806.338.150,00","1.806.338.150,00"
2,2023,12500,100006,91003,Tarifa Autonómica IRPF Ejercicios Anteriores,"120.658.430,00",,"120.658.430,00","133.810.120,36","133.810.120,36"
3,2023,12500,110000,91003,Sobre adquisiciones por herencia o legado,"140.000.000,00",,"140.000.000,00",,
4,2023,12500,110003,91003,Donaciones,"6.500.000,00",,"6.500.000,00",,
5,2023,12500,111000,91003,Sobre el patrimonio neto de las personas físicas,"56.500.000,00",,"56.500.000,00",,
6,2023,12500,112000,91003,Sobre Grandes superficies,"5.500.000,00",,"5.500.000,00",,
7,2023,12500,115000,91003,Impuestos Depósitos Entidades de Crédito,"10.500.000,00",,"10.500.000,00",,
8,2023,12500,200000,91003,Sobre Transmisiones Patrimoniales Onerosas,"162.000.000,00",,"162.000.000,00",,
9,2023,12500,200001,91003,Sobre Operaciones Societarias,"1.300.000,00",,"1.300.000,00",,
10,2023,12500,200002,91003,Sobre Transmisiones de vehículos,"2.300.000,00",,"2.300.000,00",,
11,2023,12500,201000,91003,Documentos Notariales,"64.000.000,00",,"64.000.000,00",,
12,2023,12500,201002,91003,Documentos Administrativos,"1.700.000,00",,"1.700.000,00",,
13,2023,12500,210001,91003,I.V.A. Sobre Operaciones Internas,"1.316.848.300,00",,"1.316.848.300,00","1.316.848.300,00","1.316.848.300,00"
14,2023,12500,210017,91003,IVA Liquidación Ejercicios Anteriores,"-32.735.340,00",,"-32.735.340,00","-65.144.260,28","-65.144.260,28"
15,2023,12500,220000,91003,Sobre el alcohol y bebidas derivadas,"17.389.360,00",,"17.389.360,00","17.389.360,00","17.389.360,00"
16,2023,12500,220001,91003,Sobre Cerveza,"5.966.560,00",,"5.966.560,00","5.966.560,00","5.966.560,00"
17,2023,12500,220003,91003,Sobre labores de tabaco,"121.807.360,00",,"121.807.360,00","121.807.360,00","121.807.360,00"
18,2023,12500,220005,91003,Sobre determinados medios de transporte,"9.500.000,00",,"9.500.000,00",,
19,2023,12500,220006,91003,Sobre productos intermedios,"513.500,00",,"513.500,00","513.500,00","513.500,00"
