_id,Ejercicio,Centro Gestor,Economico,Financiacion,Descripcion,Prevision Inicial,Modificaciones,Prevision Definitiva,D.Rec. Netos,Recaudado Neto
1,2018,12500,100000,91003,Tarifa Autonómica del I.R.P.F.,"1.257.652.140,00",,"1.257.652.140,00","1.257.652.140,00","1.257.652.140,00"
2,2018,12500,100006,91003,Tarifa Autonómica IRPF Ejercicios Anteriores,"87.317.750,00",,"87.317.750,00","98.258.627,91","98.258.627,91"
3,2018,12500,110000,91003,Sobre adquisiciones por herencia o legado,"147.040.100,00",,"147.040.100,00",,
4,2018,12500,110003,91003,Donaciones,"2.000.000,00",,"2.000.000,00",,
5,2018,12500,111000,91003,Sobre el patrimonio neto de las personas físicas,"45.000.000,00",,"45.000.000,00",,
6,2018,12500,115000,91003,Impuestos Depósitos Entidades de Crédito,"10.200.000,00",,"10.200.000,00",,
7,2018,12500,200000,91003,Sobre Transmisiones Patrimoniales Onerosas,"120.000.000,00",,"120.000.000,00",,
8,2018,12500,200002,91003,Sobre Transmisiones de vehículos,"2.500.000,00",,"2.500.000,00",,
9,2018,12500,201000,91003,Documentos Notariales,"55.000.000,00",,"55.000.000,00",,
10,2018,12500,201002,91003,Documentos Administrativos,"2.100.000,00",,"2.100.000,00",,
11,2018,12500,202000,91003,Sobre operaciones societarias,"1.500.000,00",,"1.500.000,00",,
12,2018,12500,210001,91003,I.V.A. Sobre Operaciones Internas,"1.150.925.420,00",,"1.150.925.420,00","1.150.925.420,00","1.150.925.420,00"
13,2018,12500,210017,91003,IVA Liquidación Ejercicios Anteriores,"33.063.000,00",,"33.063.000,00","30.613.597,35","30.613.597,35"
14,2018,12500,220000,91003,Sobre el alcohol y bebidas derivadas,"16.748.780,00",,"16.748.780,00","16.748.780,00","16.748.780,00"
15,2018,12500,220001,91003,Sobre Cerveza,"6.215.990,00",,"6.215.990,00","6.215.990,00","6.215.990,00"
16,2018,12500,220003,91003,Sobre labores de tabaco,"135.419.350,00",,"135.419.350,00","135.419.350,00","135.419.350,00"
17,2018,12500,220005,91003,Sobre determinados medios de transporte,"9.000.000,00",,"9.000.000,00",,
18,2018,12500,220006,91003,Sobre productos intermedios,"439.670,00",,"439.670,00","439.670,00","439.670,00"
19,2018,12500,220007,91003,Sobre energía (electricidad),"60.317.000,00",,"60.317.000,00","60.317.000,00","60.317.000,00"
20,2018,12500,220008,91003,Sobre hidrocarburos,"308.268.720,00",,"308.268.720,00","308.268.720,00","308.268.720,00"
21,2018,12500,220009,91003,Impuesto Especial (Ejercicios anteriores),"-17.614.700,00",,"-17.614.700,00",,
22,2018,12500,220010,91003,Sobre alcohol y bebidas derivadas - (Ej. anteriore,,,,"471.027,64","471.027,64"
23,2018,12500,220011,91003,Sobre Cerveza - (Ej. anteriores),,,,"529.979,28","529.979,28"
24,2018,12500,220013,91003,Sobre labores de tabaco - (Ej. anteriores),,,,"-892.486,97","-892.486,97"
25,2018,12500,220016,91003,Sobre productos intermedios - (Ej. anteriores),,,,"59.786,45","59.786,45"
26,2018,12500,220017,91003,Sobre energía (electricidad) - (Ej. anteriores),,,,"-3.518.617,15","-3.518.617,15"
27,2018,12500,220018,91003,Sobre hidrocarburos - (Ej. anteriores),,,,"-14.088.805,78","-14.088.805,78"
28,2018,12500,220022,91003,Tramo autonómico sobre hidrocarburos,"23.000.000,00",,"23.000.000,00",,
29,2018,12500,230000,91003,Impuesto s/contaminación de las aguas,"3.000.000,00",,"3.000.000,00",,
30,2018,12500,231000,91003,S/ sobre grandes áreas de venta,"8.700.000,00","13.703.558,71","22.403.558,71",,
31,2018,12500,232000,91003,S/ Emisiones contaminantes,"870.000,00",,"870.000,00",,
32,2018,12500,234000,91003,S/ aprovechamiento hidroeléctrico,"15.000.000,00",,"15.000.000,00",,
33,2018,12500,235000,91003,S/ líneas de alta tensión,"1.575.000,00",,"1.575.000,00",,
34,2018,12500,240000,91003,Casinos,"400.000,00",,"400.000,00",,
35,2018,12500,240001,91003,Bingos,"12.000.000,00",,"12.000.000,00",,
36,2018,12500,240002,91003,Máquinas recreativas,"28.500.000,00",,"28.500.000,00",,
37,2018,12500,240003,91003,"Loterías,rifas,boletos y combinaciones aleatorias","1.850.000,00",,"1.850.000,00",,
38,2018,12500,240004,91003,Bingo Electrónico,"200.000,00",,"200.000,00",,
39,2018,12500,250000,91003,Impuesto s/ actividades de juego,"2.500.000,00",,"2.500.000,00",,
40,2018,12500,300050,91003,Venta de Bienes de Cortes de Aragón,"30.000,00",,"30.000,00","30.000,00","30.000,00"
41,2018,12500,301006,91003,"Venta de Public de Educ., U., C. y Deporte (No ope","4.000,00",,"4.000,00","5.881,62","4.450,46"
42,2018,12500,301050,91003,Venta de Publicac. de Cortes de Aragón,"10.000,00",,"10.000,00","10.000,00","10.000,00"
43,2018,12500,302000,91003,Venta de cartones de bingo,"577.000,00",,"577.000,00","306.675,16","306.675,16"
44,2018,12500,303000,91003,Venta de impresos,"20.000,00",,"20.000,00",,
45,2018,12500,310050,91003,Entradas Cortes de Aragón,"210.000,00",,"210.000,00","210.000,00","210.000,00"
46,2018,12500,319000,91003,Prestación Serv. de Presidencia y Justicia (No ope,"170.000,00",,"170.000,00","141.000,00","127.500,00"
47,2018,12500,319005,91003,"Prestación Serv. de Sanidad, B. Social y Familia",,,,"219.843,02","160.039,00"
48,2018,12500,319006,91003,"Prestación Serv. de Educ., Cult. y Dpte","1.900.000,00",,"1.900.000,00","1.935.911,13","1.481.905,43"
49,2018,12500,319103,91003,Prestación de servicios en guarderías,"936.000,00",,"936.000,00","921.371,22","905.870,22"
50,2018,12500,319111,91003,Cuotas alumnos Inst. Formación Agroambiental,"15.800,00",,"15.800,00","2.917,00","2.917,00"
51,2018,12500,319118,91003,Prestación Servicios RACI,"17.500,00",,"17.500,00","17.155,15","17.155,15"
52,2018,12500,319321,91003,Transporte Sanitario por Helicóptero,"101.400,00",,"101.400,00","178.856,00","145.205,00"
53,2018,12500,322017,91003,"Tasa 17- Serv.fac.advos monte,aprov.for.,vías pec.",,,,"22,41","22,41"
54,2018,12500,329001,91003,Tasa 01- Dirección e inspección de obras,"1.327.000,00",,"1.327.000,00","1.943.708,65","1.398.298,35"
55,2018,12500,329003,91003,"Tasa 03- Serv.admvos, redacc. informes,activ. fac.","113.808,00",,"113.808,00","184.368,50","179.866,73"
56,2018,12500,329004,91003,Tasa 04- Por Autorizacones Espectáculos Públicos,"25.350,00",,"25.350,00","39.334,51","39.334,51"
57,2018,12500,329005,91003,Tasa 05-S. Mat. orde. transp. terr carretera,"1.370.000,00",,"1.370.000,00","1.685.243,86","1.685.243,86"
58,2018,12500,329010,91003,Tasa 10-S. facultativos agronómicos,"2.028,00",,"2.028,00","256.026,56","256.026,56"
59,2018,12500,329011,91003,Tasa 11-Servicios  facultativos veterinarios,"608.400,00","-401.788,00","206.612,00","878.952,34","878.952,34"
60,2018,12500,329012,91003,Tasa 12-Ins. y ctroles sanitarios  anim y sus prod,"400.000,00",,"400.000,00","958.531,88","938.956,27"
61,2018,12500,329013,91003,"Tasa 13-Aut., Inspec., materia centros sanitarios","300.000,00",,"300.000,00","484.382,27","484.382,27"
