_id,Ejercicio,Centro Gestor,Economico,Financiacion,Descripcion,Prevision Inicial,Modificaciones,Prevision Definitiva,D.Rec. Netos,Recaudado Neto
1,2014,12000,380000,91003,Reintegros ej.cerrados de Presidencia y Justicia,,,,"0,00","0,00"
2,2014,12500,100000,91003,Tarifa Autonómica del I.R.P.F.,"1.067.039.000,00",,"1.067.039.000,00","1.079.532.240,00","1.079.532.240,00"
3,2014,12500,100001,91003,Tarifa Autonómica del I.R.P.F. - Ejercicio 2009,,,,"-11.797.340,97","-11.797.340,97"
4,2014,12500,100003,91003,Tarifa Autonómica del IRPF. Liquidación Ej. 2012,,,,"-42.110.042,14","-42.110.042,14"
5,2014,12500,110000,91003,Sobre adquisiciones por herencia o legado,"159.600.000,00",,"159.600.000,00",,
6,2014,12500,110003,91003,Donaciones,"12.285.000,00",,"12.285.000,00",,
7,2014,12500,111000,91003,Sobre el patrimonio neto de las personas físicas,"27.000.000,00",,"27.000.000,00",,
8,2014,12500,112000,91003,Sobre Grandes superficies,"4.935.000,00",,"4.935.000,00",,
9,2014,12500,113000,91003,Sobre emisiones contaminantes,"6.090.000,00",,"6.090.000,00",,
10,2014,12500,200000,91003,Sobre Transmisiones Patrimoniales Onerosas,"108.570.000,00",,"108.570.000,00",,
11,2014,12500,200001,91003,Sobre Operaciones Societarias,"12.285.000,00",,"12.285.000,00",,
12,2014,12500,200002,91003,Sobre Transmisiones de vehículos,"2.415.000,00",,"2.415.000,00",,
13,2014,12500,201000,91003,Efectos timbrados y otros,"45.675.000,00",,"45.675.000,00",,
14,2014,12500,201001,91003,Exceso letras de cambio,"52.500,00",,"52.500,00",,
15,2014,12500,201002,91003,Reintegros a metálico,"3.675.000,00",,"3.675.000,00",,
16,2014,12500,210001,91003,I.V.A. Sobre Operaciones Internas,"882.000.000,00",,"882.000.000,00","908.754.490,00","908.754.490,00"
17,2014,12500,210011,91003,Impuesto Valor Añadido - Ejercicio 2008,,,,"-5.326.657,96","-5.326.657,96"
18,2014,12500,210012,91003,Impuesto Valor Añadido - Ejercicio 2009,,,,"-20.749.587,36","-20.749.587,36"
19,2014,12500,210014,91003,IVA. Liquidación Ej. 2012,,,,"78.093.620,20","78.093.620,20"
20,2014,12500,220000,91003,Sobre el alcohol y bebidas derivadas,"15.000.000,00",,"15.000.000,00","15.235.680,00","15.235.680,00"
21,2014,12500,220001,91003,Sobre Cerveza,"4.846.000,00",,"4.846.000,00","4.866.510,00","4.866.510,00"
22,2014,12500,220003,91003,Sobre labores de tabaco,"142.500.000,00",,"142.500.000,00","142.597.910,00","142.597.910,00"
23,2014,12500,220005,91003,Sobre determinados medios de transporte,"11.000.000,00",,"11.000.000,00",,
24,2014,12500,220006,91003,Sobre productos intermedios,"325.000,00",,"325.000,00","321.555,33","321.555,33"
25,2014,12500,220007,91003,Sobre energía (electricidad),"71.000.000,00",,"71.000.000,00","71.190.450,00","71.190.450,00"
26,2014,12500,220008,91003,Sobre hidrocarburos,"265.000.000,00",,"265.000.000,00","265.896.010,00","265.896.010,00"
27,2014,12500,220010,91003,Sobre alcohol y bebidas derivadas - Ejercicio 2009,,,,"-166.240,11","-166.240,11"
28,2014,12500,220011,91003,Sobre Cerveza - Ejercicio 2009,,,,"-21.635,51","-21.635,51"
29,2014,12500,220013,91003,Sobre labores de tabaco - Ejercicio 2009,,,,"-14.681,06","-14.681,06"
30,2014,12500,220016,91003,Sobre productos intermedios - Ejercicio 2009,,,,"-2.715,23","-2.715,23"
31,2014,12500,220018,91003,Sobre hidrocarburos - Ejercicio 2009,,,,"-841.842,94","-841.842,94"
32,2014,12500,220030,91003,S/ Alcohol y bebidas derivadas. Liquidación 2012,,,,"-1.568.172,72","-1.568.172,72"
33,2014,12500,220031,91003,S/ Cerveza. Liquidación Ej. 2012,,,,"-14.190,17","-14.190,17"
34,2014,12500,220032,91003,S/ Labores Tabaco. Liquidación Ej. 2012,,,,"10.341.923,47","10.341.923,47"
35,2014,12500,220036,91003,S/ Productos Intermedios. Liquidación Ej. 2012,,,,"-19.548,51","-19.548,51"
36,2014,12500,220037,91003,S/ Energía Electrica. Liquidación Ej. 2012,,,,"9.240.908,81","9.240.908,81"
37,2014,12500,220038,91003,S/ Hidrocarburos. Liquidación Ej. 2012,,,,"3.023.624,56","3.023.624,56"
38,2014,12500,300050,91003,Venta de Bienes de Cortes de Aragón,"36.000,00",,"36.000,00","27.000,00","27.000,00"
39,2014,12500,301006,91003,"Venta de  Public de Educ., Univ., Cult. y Deporte","15.000,00",,"15.000,00","389,91","173,77"
40,2014,12500,301050,91003,Venta de Publicac. de Cortes de Aragón,"10.000,00",,"10.000,00","7.500,00","7.500,00"
41,2014,12500,302000,91003,Venta de cartones de bingo,"280.000,00",,"280.000,00","286.638,46","286.638,46"
42,2014,12500,310050,91003,Entradas Cortes de Aragón,"255.000,00",,"255.000,00","191.250,00","191.250,00"
43,2014,12500,319000,91003,Prestación Serv. de Presidencia y Justicia,"130.680,00",,"130.680,00","108.000,00","94.500,00"
44,2014,12500,319005,91003,"Prestación Serv. de Sanidad, B. Social y Familia",,,,"728.956,87","533.615,69"
