_id,EJERCICIO,CENTRO GESTOR,DESCRIPCION CORTA,DESCRIPCION LARGA
1,2016,01,Cortes de Aragón,Cortes de Aragón
2,2016,0100,Ingresos de las Cortes de Aragón,Ingresos de las Cortes de Aragón
3,2016,01000,Ingresos de las Cortes de Aragón,Ingresos de las Cortes de Aragón
4,2016,0101,Cortes de Aragón,Cortes de Aragón
5,2016,01010,Cortes de Aragón,Cortes de Aragón
6,2016,0102,El Justicia de Aragón,El Justicia de Aragón
7,2016,01020,El Justicia de Aragón,El Justicia de Aragón
8,2016,0103,Cámara de Cuentas de Aragón,Cámara de Cuentas de Aragón
9,2016,01030,Cámara de Cuentas de Aragón,Cámara de Cuentas de Aragón
10,2016,02,Presidencia del Gobierno de Aragón,Presidencia del Gobierno de Aragón
11,2016,0200,Ingresos de Presidencia Gobierno Aragón,Ingresos de Presidencia Gobierno Aragón
12,2016,02000,Ingresos de Presidencia del Gobierno,Ingresos de Presidencia del Gobierno
13,2016,0201,Presidencia del Gobierno de Aragón,Presidencia del Gobierno de Aragón
14,2016,02010,Presidencia del Gobierno de Aragón,Presidencia del Gobierno de Aragón
15,2016,03,Consejo Consultivo de Aragón,Consejo Consultivo de Aragón
16,2016,0300,Ingresos Consejo Consultivo de Aragón,Ingresos Consejo Consultivo de Aragón
17,2016,03000,Ingresos Consejo Consultivo de Aragón,Ingresos Consejo Consultivo de Aragón
18,2016,0301,Consejo Consultivo de Aragón,Consejo Consultivo de Aragón
19,2016,03010,Consejo Consultivo de Aragón,Consejo Consultivo de Aragón
20,2016,04,Tribunal Admtvo. de Contratos Públicos de Aragón,Tribunal Admtvo. de Contratos Públicos de Aragón
21,2016,0400,Tribunal Admtvo. de Contratos Públicos de Aragón,Tribunal Admtvo. de Contratos Públicos de Aragón
22,2016,04000,Tribunal Admtvo. de Contratos Públicos de Aragón,Tribunal Admtvo. de Contratos Públicos de Aragón
23,2016,0401,Tribunal Admtvo. de Contratos Públicos de Aragón,Tribunal Admtvo. de Contratos Públicos de Aragón
24,2016,04010,Tribunal Admtvo. de Contratos Públicos de Aragón,Tribunal Admtvo. de Contratos Públicos de Aragón
25,2016,0402,No operativo,No operativo
26,2016,04020,No operativo,No operativo
27,2016,09,Consejo Económico y Social de Aragón,Consejo Económico y Social de Aragón
28,2016,0900,Ingresos Consejo Ec. y Social de Aragón,Ingresos Consejo Ec. y Social de Aragón
29,2016,09000,Ingresos Consejo Ec. y Social de Aragón,Ingresos Consejo Ec. y Social de Aragón
30,2016,0901,Consejo Económico y Social de Aragón,Consejo Económico y Social de Aragón
