_id,EJERCICIO,CENTRO GESTOR,DESCRIPCION CORTA,DESCRIPCION LARGA
1,2014,01,Cortes de Aragón,Cortes de Aragón
2,2014,0100,Ingresos de las Cortes de Aragón,Ingresos de las Cortes de Aragón
3,2014,01000,Ingresos de las Cortes de Aragón,Ingresos de las Cortes de Aragón
4,2014,0101,Cortes de Aragón,Cortes de Aragón
5,2014,01010,Cortes de Aragón,Cortes de Aragón
6,2014,0102,El Justicia de Aragón,El Justicia de Aragón
7,2014,01020,El Justicia de Aragón,El Justicia de Aragón
8,2014,0103,Cámara de Cuentas de Aragón,Cámara de Cuentas de Aragón
9,2014,01030,Cámara de Cuentas de Aragón,Cámara de Cuentas de Aragón
10,2014,02,Presidencia del Gobierno de Aragón,Presidencia del Gobierno de Aragón
11,2014,0200,Ingresos de Presidencia Gobierno Aragón,Ingresos de Presidencia Gobierno Aragón
12,2014,02000,Ingresos de Presidencia del Gobierno,Ingresos de Presidencia del Gobierno
13,2014,0201,Presidencia del Gobierno de Aragón,Presidencia del Gobierno de Aragón
14,2014,02010,Presidencia del Gobierno de Aragón,Presidencia del Gobierno de Aragón
15,2014,03,Consejo Consultivo de Aragón,Consejo Consultivo de Aragón
16,2014,0300,Ingresos Consejo Consultivo de Aragón,Ingresos Consejo Consultivo de Aragón
17,2014,03000,Ingresos Consejo Consultivo de Aragón,Ingresos Consejo Consultivo de Aragón
18,2014,0301,Consejo Consultivo de Aragón,Consejo Consultivo de Aragón
19,2014,03010,Consejo Consultivo de Aragón,Consejo Consultivo de Aragón
20,2014,04,No operativo,No operativo
21,2014,0400,No operativa,No operativa
22,2014,04000,No operativa,No operativa
23,2014,0401,No operativo,No operativo
24,2014,04010,,
25,2014,0402,No operativo,No operativo
26,2014,04020,No operativo,No operativo
27,2014,09,Consejo Económico y Social de Aragón,Consejo Económico y Social de Aragón
28,2014,0900,Ingresos Consejo Ec. y Social de Aragón,Ingresos Consejo Ec. y Social de Aragón
29,2014,09000,Ingresos Consejo Ec. y Social de Aragón,Ingresos Consejo Ec. y Social de Aragón
30,2014,0901,Consejo Económico y Social de Aragón,Consejo Económico y Social de Aragón
31,2014,09010,Consejo Económico y Social de Aragón,Consejo Económico y Social de Aragón
32,2014,10,Presidencia y Justicia,Presidencia y Justicia
33,2014,1000,Ingresos de Presidencia y Justicia,Ingresos de Presidencia y Justicia
34,2014,10000,Ingresos de Presidencia y Justicia,Ingresos de Presidencia y Justicia
35,2014,1001,S.G.T. Presidencia y Justicia,S.G.T. Presidencia y Justicia
36,2014,10010,S.G.T. Presidencia y Justicia,S.G.T. Presidencia y Justicia
37,2014,1002,Dirección General de Servicios Jurídicos,Dirección General de Servicios Jurídicos
38,2014,10020,Dirección General de Servicios Jurídicos,Dirección General de Servicios Jurídicos
39,2014,1003,D.G. de Desarrollo Estatutario,D.G. de Desarrollo Estatutario
40,2014,10030,D.G. de Desarrollo Estatutario,D.G. de Desarrollo Estatutario
41,2014,1004,D.G. Rel. Inst. y con Cortes de Aragón,D.G. Rel. Inst. y con Cortes de Aragón
42,2014,10040,D.G. Rel. Inst. y con Cortes de Aragón,D.G. Rel. Inst. y con Cortes de Aragón
