_id,EJERCICIO,CENTRO GESTOR,DESCRIPCION CORTA,DESCRIPCION LARGA
1,2019,1,Cortes de Aragón,Cortes de Aragón
2,2019,100,Ingresos de las Cortes de Aragón,Ingresos de las Cortes de Aragón
3,2019,1000,Ingresos de las Cortes de Aragón,Ingresos de las Cortes de Aragón
4,2019,101,Cortes de Aragón,Cortes de Aragón
5,2019,1010,Cortes de Aragón,Cortes de Aragón
6,2019,102,El Justicia de Aragón,El Justicia de Aragón
7,2019,1020,El Justicia de Aragón,El Justicia de Aragón
8,2019,103,Cámara de Cuentas de Aragón,Cámara de Cuentas de Aragón
9,2019,1030,Cámara de Cuentas de Aragón,Cámara de Cuentas de Aragón
10,2019,2,Presidencia del Gobierno de Aragón,Presidencia del Gobierno de Aragón
11,2019,200,Ingresos de Presidencia Gobierno Aragón,Ingresos de Presidencia Gobierno Aragón
12,2019,2000,Ingresos de Presidencia del Gobierno,Ingresos de Presidencia del Gobierno
13,2019,201,Presidencia del Gobierno de Aragón,Presidencia del Gobierno de Aragón
14,2019,2010,Presidencia del Gobierno de Aragón,Presidencia del Gobierno de Aragón
15,2019,3,Consejo Consultivo de Aragón,Consejo Consultivo de Aragón
16,2019,300,Ingresos Consejo Consultivo de Aragón,Ingresos Consejo Consultivo de Aragón
17,2019,3000,Ingresos Consejo Consultivo de Aragón,Ingresos Consejo Consultivo de Aragón
18,2019,301,Consejo Consultivo de Aragón,Consejo Consultivo de Aragón
19,2019,3010,Consejo Consultivo de Aragón,Consejo Consultivo de Aragón
20,2019,4,Tribunal Admtvo. de Contratos Públicos de Aragón,Tribunal Admtvo. de Contratos Públicos de Aragón
21,2019,400,Tribunal Admtvo. de Contratos Públicos de Aragón,Tribunal Admtvo. de Contratos Públicos de Aragón
22,2019,4000,Tribunal Admtvo. de Contratos Públicos de Aragón,Tribunal Admtvo. de Contratos Públicos de Aragón
23,2019,401,Tribunal Admtvo. de Contratos Públicos de Aragón,Tribunal Admtvo. de Contratos Públicos de Aragón
24,2019,4010,Tribunal Admtvo. de Contratos Públicos de Aragón,Tribunal Admtvo. de Contratos Públicos de Aragón
25,2019,402,No operativo,No operativo
26,2019,4020,No operativo,No operativo
27,2019,5,Vicepresidencia del Gobierno,Vicepresidencia del Gobierno
28,2019,500,Ingresos Vicepresidencia del Gobierno,Ingresos Vicepresidencia del Gobierno
29,2019,5000,Ingresos Vicepresidencia del Gobierno,Ingresos Vicepresidencia del Gobierno
30,2019,502,No operativo,No operativo
31,2019,5020,DG de Desarrollo Estatutario y Programas Europeos,DG de Desarrollo Estatutario y Programas Europeos
32,2019,9,Consejo Económico y Social de Aragón,Consejo Económico y Social de Aragón
