_id,EJERCICIO,CENTRO GESTOR,DESCRIPCION CORTA,DESCRIPCION LARGA
1,2015,01,Cortes de Aragón,Cortes de Aragón
2,2015,0100,Ingresos de las Cortes de Aragón,Ingresos de las Cortes de Aragón
3,2015,01000,Ingresos de las Cortes de Aragón,Ingresos de las Cortes de Aragón
4,2015,0101,Cortes de Aragón,Cortes de Aragón
5,2015,01010,Cortes de Aragón,Cortes de Aragón
6,2015,0102,El Justicia de Aragón,El Justicia de Aragón
7,2015,01020,El Justicia de Aragón,El Justicia de Aragón
8,2015,0103,Cámara de Cuentas de Aragón,Cámara de Cuentas de Aragón
9,2015,01030,Cámara de Cuentas de Aragón,Cámara de Cuentas de Aragón
10,2015,02,Presidencia del Gobierno de Aragón,Presidencia del Gobierno de Aragón
11,2015,0200,Ingresos de Presidencia Gobierno Aragón,Ingresos de Presidencia Gobierno Aragón
12,2015,02000,Ingresos de Presidencia del Gobierno,Ingresos de Presidencia del Gobierno
13,2015,0201,Presidencia del Gobierno de Aragón,Presidencia del Gobierno de Aragón
14,2015,02010,Presidencia del Gobierno de Aragón,Presidencia del Gobierno de Aragón
15,2015,03,Consejo Consultivo de Aragón,Consejo Consultivo de Aragón
16,2015,0300,Ingresos Consejo Consultivo de Aragón,Ingresos Consejo Consultivo de Aragón
17,2015,03000,Ingresos Consejo Consultivo de Aragón,Ingresos Consejo Consultivo de Aragón
18,2015,0301,Consejo Consultivo de Aragón,Consejo Consultivo de Aragón
19,2015,03010,Consejo Consultivo de Aragón,Consejo Consultivo de Aragón
20,2015,04,No operativo,No operativo
21,2015,0400,No operativa,No operativa
22,2015,04000,No operativa,No operativa
23,2015,0401,No operativo,No operativo
24,2015,04010,Tribunal Admtvo. de Contratos Públicos de Aragón,Tribunal Admtvo. de Contratos Públicos de Aragón
25,2015,0402,No operativo,No operativo
26,2015,04020,No operativo,No operativo
27,2015,09,Consejo Económico y Social de Aragón,Consejo Económico y Social de Aragón
28,2015,0900,Ingresos Consejo Ec. y Social de Aragón,Ingresos Consejo Ec. y Social de Aragón
29,2015,09000,Ingresos Consejo Ec. y Social de Aragón,Ingresos Consejo Ec. y Social de Aragón
30,2015,0901,Consejo Económico y Social de Aragón,Consejo Económico y Social de Aragón
31,2015,09010,Consejo Económico y Social de Aragón,Consejo Económico y Social de Aragón
32,2015,10,Presidencia y Justicia,Presidencia y Justicia
33,2015,1000,Ingresos de Presidencia y Justicia,Ingresos de Presidencia y Justicia
34,2015,10000,Ingresos de Presidencia y Justicia,Ingresos de Presidencia y Justicia
35,2015,1001,S.G.T. Presidencia y Justicia,S.G.T. Presidencia y Justicia
36,2015,10010,S.G.T. Presidencia y Justicia,S.G.T. Presidencia y Justicia
37,2015,1002,Dirección General de Servicios Jurídicos,Dirección General de Servicios Jurídicos
38,2015,10020,Dirección General de Servicios Jurídicos,Dirección General de Servicios Jurídicos
39,2015,1003,D.G. de Desarrollo Estatutario,D.G. de Desarrollo Estatutario
40,2015,10030,D.G. de Desarrollo Estatutario,D.G. de Desarrollo Estatutario
41,2015,1004,D.G. Rel. Inst. y con Cortes de Aragón,D.G. Rel. Inst. y con Cortes de Aragón
42,2015,10040,D.G. Rel. Inst. y con Cortes de Aragón,D.G. Rel. Inst. y con Cortes de Aragón
