_id,EJERCICIO,CENTRO GESTOR,DESCRIPCION CORTA,DESCRIPCION LARGA
1,2024,00001,Cortes de Aragón,Cortes de Aragón
2,2024,00100,Ingresos de las Cortes de Aragón,Ingresos de las Cortes de Aragón
3,2024,01000,Ingresos de las Cortes de Aragón,Ingresos de las Cortes de Aragón
4,2024,00101,Cortes de Aragón,Cortes de Aragón
5,2024,01010,Cortes de Aragón,Cortes de Aragón
6,2024,00102,El Justicia de Aragón,El Justicia de Aragón
7,2024,01020,El Justicia de Aragón,El Justicia de Aragón
8,2024,00103,Cámara de Cuentas de Aragón,Cámara de Cuentas de Aragón
9,2024,01030,Cámara de Cuentas de Aragón,Cámara de Cuentas de Aragón
10,2024,00002,Presidencia del Gobierno de Aragón,Presidencia del Gobierno de Aragón
11,2024,00200,Ingresos de Presidencia Gobierno Aragón,Ingresos de Presidencia Gobierno Aragón
12,2024,02000,Ingresos de Presidencia del Gobierno,Ingresos de Presidencia del Gobierno
13,2024,00201,Secretaría General de la Presidencia,Secretaría General de la Presidencia
14,2024,02010,Secretaría General de la Presidencia,Secretaría General de la Presidencia
15,2024,00209,Gastos Centralizados Presidencia Gobierno Aragón,Gastos Centralizados Presidencia Gobierno Aragón
16,2024,02099,Gastos Centralizados Presidencia Gobierno Aragón,Gastos Centralizados Presidencia Gobierno Aragón
17,2024,00003,Consejo Consultivo de Aragón,Consejo Consultivo de Aragón
18,2024,00300,Ingresos Consejo Consultivo de Aragón,Ingresos Consejo Consultivo de Aragón
19,2024,03000,Ingresos Consejo Consultivo de Aragón,Ingresos Consejo Consultivo de Aragón
20,2024,00301,Consejo Consultivo de Aragón,Consejo Consultivo de Aragón
21,2024,03010,Consejo Consultivo de Aragón,Consejo Consultivo de Aragón
22,2024,00309,Gastos Centralizados Consejo Consultivo de Aragón,Gastos Centralizados Consejo Consultivo de Aragón
23,2024,03099,Gastos Centralizados Consejo Consultivo de Aragón,Gastos Centralizados Consejo Consultivo de Aragón
24,2024,00004,Tribunal Admtvo. de Contratos Públicos de Aragón,Tribunal Admtvo. de Contratos Públicos de Aragón
25,2024,00400,Ingr.Tribunal Admtvo. de Contr. Públicos de Aragón,Ingr.Tribunal Admtvo. de Contr. Públicos de Aragón
26,2024,04000,Ingr. Tribunal Admtvo. de Cont. Públicos de Aragón,Ingr. Tribunal Admtvo. de Cont. Públicos de Aragón
27,2024,00401,Tribunal Admtvo. de Contratos Públicos de Aragón,Tribunal Admtvo. de Contratos Públicos de Aragón
28,2024,04010,Tribunal Admtvo. de Contratos Públicos de Aragón,Tribunal Admtvo. de Contratos Públicos de Aragón
29,2024,00402,No operativo,No operativo
30,2024,04020,No operativo,No operativo
31,2024,00005,No operativo,No operativo
32,2024,00500,No operativo,No operativo
33,2024,05000,No operativo,No operativo
34,2024,00502,No operativo,No operativo
35,2024,05020,No operativo,No operativo
36,2024,00509,No operativo,No operativo
37,2024,05099,No operativo,No operativo
38,2024,00009,Consejo Económico y Social de Aragón,Consejo Económico y Social de Aragón
39,2024,00900,Ingresos Consejo Ec. y Social de Aragón,Ingresos Consejo Ec. y Social de Aragón
40,2024,09000,Ingresos Consejo Ec. y Social de Aragón,Ingresos Consejo Ec. y Social de Aragón
41,2024,00901,Consejo Económico y Social de Aragón,Consejo Económico y Social de Aragón
42,2024,09010,Consejo Económico y Social de Aragón,Consejo Económico y Social de Aragón
43,2024,00909,Gastos Centralizados Consejo Económico y Social,Gastos Centralizados Consejo Económico y Social
44,2024,09099,Gastos Centralizados Consejo Económico y Social,Gastos Centralizados Consejo Económico y Social
45,2024,00010,"Presidencia, Interior y Cultura","Presidencia, Interior y Cultura"
46,2024,01000,"Ingresos de Presidencia, Interior y Cultura","Ingresos de Presidencia, Interior y Cultura"
47,2024,10000,"Ingresos de Presidencia, Interior y Cultura","Ingresos de Presidencia, Interior y Cultura"
48,2024,01001,"S.G.T. de Presidencia, Interior y Cultura","S.G.T. de Presidencia, Interior y Cultura"
49,2024,10010,"S.G.T. de Presidencia, Interior y Cultura","S.G.T. de Presidencia, Interior y Cultura"
50,2024,01002,Dirección General de Servicios Jurídicos,Dirección General de Servicios Jurídicos
51,2024,10020,Dirección General de Servicios Jurídicos,Dirección General de Servicios Jurídicos
52,2024,01003,Dirección General  de Administración Local,Dirección General  de Administración Local
53,2024,10030,Dirección General  de Administración Local,Dirección General  de Administración Local
54,2024,01004,"D.G. Rel. Instituc., Acción Exterior y Transparenc","D.G. Rel. Instituc., Acción Exterior y Transparenc"
55,2024,10040,"D.G. Rel. Instituc., Acción Exterior y Transparenc","D.G. Rel. Instituc., Acción Exterior y Transparenc"
56,2024,01005,No operativo,No operativo
57,2024,10050,No operativo,No operativo
58,2024,01006,Delegación Territorial de Huesca,Delegación Territorial de Huesca
59,2024,10060,Delegación Territorial de Huesca,Delegación Territorial de Huesca
60,2024,01007,Delegación Territorial de Teruel,Delegación Territorial de Teruel
61,2024,10070,Delegación Territorial de Teruel,Delegación Territorial de Teruel
62,2024,01008,Dirección General de Interior y Emergencias,Dirección General de Interior y Emergencias
63,2024,10080,Dirección General de Interior y Emergencias,Dirección General de Interior y Emergencias
64,2024,01009,"Gastos Central. Presidencia, Interior y Cultura","Gastos Central. Presidencia, Interior y Cultura"
65,2024,10090,Dirección General de Deporte,Dirección General de Deporte
66,2024,10099,"Gastos Central. Presidencia, Interior y Cultura","Gastos Central. Presidencia, Interior y Cultura"
67,2024,01010,Dirección General de Cultura,Dirección General de Cultura
68,2024,10100,Dirección General de Cultura,Dirección General de Cultura
69,2024,01011,Dirección General de Patrimonio Cultural,Dirección General de Patrimonio Cultural
70,2024,10110,Dirección General de Patrimonio Cultural,Dirección General de Patrimonio Cultural
71,2024,01012,Dirección General de Desarrollo Estatutario,Dirección General de Desarrollo Estatutario
72,2024,10120,Dirección General de Desarrollo Estatutario,Dirección General de Desarrollo Estatutario
73,2024,01013,DG Política Económica,DG Política Económica
74,2024,10130,D.G. Politica Económica,D.G. Politica Económica
75,2024,01014,D.G. Trabajo,D.G. de Trabajo
76,2024,10140,D.G. Trabajo,D.G. Trabajo
77,2024,01015,D.G. PYMES y Autónomos,D.G. PYMES y Autónomos
78,2024,10150,D.G. PYMES y Autónomos,D.G. PYMES y Autónomos
79,2024,01016,D.G. Prom. Industrial e Innovación,D.G. Prom. Industrial e Innovación
80,2024,10160,D.G. Prom. Industrial e Innovación,D.G. Prom. Industrial e Innovación
81,2024,01017,"DG Comercio, Ferias y Artesania","DG Comercio, Ferias y Artesania"
82,2024,10170,"DG Comercio, Ferias y Artesanía","DG Comercio, Ferias y Artesanía"
83,2024,01018,DG Energía y Minas,DG Energía y Minas
84,2024,10180,DG Energía y Minas,DG Energía y Minas
